Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
125,708,647,225.84814,186.17212,0,0,7
126,721,647,223.68631,204.2298,0,0,7
127,701,661,214.65747,188.07962,-0.84943414,0.18478918,7
128,695,658,222.66898,189.60562,-0.57523084,-0.060602903,7
129,716,646,258.02133,217.9638,-0.6696124,0.08941412,7
140,731,678,236.14865,200.0333,0,0,7
101,708,702,208.4263,181.21262,0.24936604,0.43514872,7
103,675,714,193.54779,167.73294,0,0,7
100,881,621,221.14297,185.66345,-0.5166149,-0.14902353,7
101,858,628,216.8193,179.68661,0,0,7
105,880,633,274.68018,194.56512,0,0,7
122,797,629,236.53015,212.2413,-0.33083224,-0.2642684,7
125,792,617,285.87085,220.37997,-0.28811216,0.4381292,7
125,815,614,235.51282,192.14896,0.5474131,0.3874612,7
125,858,607,227.24698,176.88895,0.12915373,-0.062589884,7
126,808,627,256.11383,209.82513,0,0,7
127,878,636,198.1258,172.05661,0.52456284,0.2851317,7
128,836,619,245.81332,194.94662,-0.109283924,-0.13511467,7
129,812,630,279.00385,223.43198,-0.26724887,-0.12716675,7
130,813,636,245.55899,215.42047,0,0,7
132,810,646,266.79584,223.81348,-0.09239459,0.05364847,7
133,822,645,271.8825,242.76132,-0.35070205,0.24241161,7
134,836,621,245.94049,202.95813,0.29705358,0.07848573,7
135,821,639,269.5935,229.40881,0.8603625,0.53251076,7
135,833,612,221.65164,191.38596,-0.24539208,0.17882824,7
137,861,649,227.50131,199.52463,0.43912268,-0.101336,7
144,848,657,268.0675,222.79614,0,0,7
145,839,611,244.54166,207.2818,0.65471005,0.24936604,7
145,840,640,301.89386,236.65732,0.56330895,0.35964346,7
143,772,716,258.27567,225.72098,1.1882143,-0.057622433,7
