Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
125,710,656,237.15408,187.26288,0.8996862,0.119246244,7
128,703,669,230.7753,196.37543,0,0,7
128,723,654,225.30777,209.36081,0.72259665,0.41558206,7
129,697,667,229.1806,192.5026,-0.51792026,-0.14149368,7
131,718,654,242.62161,211.75285,0,0,7
103,710,711,214.2588,179.17549,1.066097,-0.10322809,7
104,675,725,183.73177,166.64574,-0.08632004,0.01334846,7
141,732,684,248.77258,199.10919,-0.32303274,0.14772296,7
100,884,631,215.17006,185.44037,0.4707557,-0.15306234,7
102,861,638,205.8297,173.25233,0,-0.005339384,7
106,882,642,260.16327,189.99664,0,0,7
125,798,637,249.45602,209.01909,0,0,7
125,811,636,236.01501,215.17006,0.41825175,0.42359114,7
125,816,623,228.83888,194.66682,0,0,7
128,793,625,276.79367,225.8773,0,0,7
128,860,615,220.29587,179.85893,0.20734608,-0.34083068,7
128,881,644,216.65085,174.04968,-0.6042403,-1.4816791,7
129,814,645,239.66003,212.5502,-0.6380564,-0.041825175,7
129,838,627,238.74878,200.47607,-0.82760453,-0.19577742,7
132,814,637,269.048,223.48526,-0.9477407,-0.15662193,7
133,812,654,261.75797,225.64949,1.4069277,0.2028966,7
133,824,653,270.6427,244.21631,0,0,7
134,838,629,238.06534,206.51314,-0.5339384,-0.29455602,7
138,835,619,216.99257,193.29994,-0.7795501,-0.44761837,7
139,823,647,268.13675,236.47064,0,0,7
140,862,655,222.80182,198.19794,0.18509865,0.17086029,7
144,850,664,257.4295,215.9674,-0.78221977,-0.21713495,7
145,842,648,321.21735,235.10376,-3.4705997,-1.7352998,7
146,841,618,232.37,205.03235,-1.1746645,-0.09165943,7
144,774,724,264.94736,219.38461,-0.39066494,-0.31413376,7
