 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,0.000,5720,5720,5720,62.275,106.386,62.192,106.288,0.208,0.208,247.470,5720,27
2,0.000,2830,2830,2830,64.869,105.737,64.688,105.664,0.208,0.208,122.437,2830,26
3,0.000,2235,2235,2235,64.221,108.981,64.064,108.784,0.208,0.208,96.695,2235,26
4,0.000,2880,2880,2880,62.923,111.792,62.816,111.696,0.208,0.208,124.600,2880,26
5,0.000,3671,3671,3671,61.626,116.332,61.568,116.272,0.208,0.208,158.822,3671,27
6,0.000,1900,1900,1900,62.707,120.008,62.608,119.808,0.208,0.208,82.202,1900,27
7,0.000,2879,2879,2879,62.491,122.819,62.400,122.720,0.208,0.208,124.557,2879,27
8,0.000,3519,3519,3519,64.437,123.684,64.272,123.552,0.208,0.208,152.246,3519,27
9,0.000,3686,3686,3686,67.464,100.115,67.392,100.048,0.208,0.208,159.471,3686,26
10,0.000,5416,5416,5416,73.519,99.899,73.424,99.840,0.208,0.208,234.318,5416,27
11,0.000,2582,2582,2582,77.627,101.845,77.584,101.712,0.208,0.208,111.708,2582,28
12,0.000,4269,4269,4269,81.087,103.791,80.912,103.584,0.208,0.208,184.694,4269,28
13,0.000,3254,3254,3254,84.330,105.305,84.240,105.248,0.208,0.208,140.781,3254,30
14,0.000,4302,4302,4302,84.979,106.170,84.864,106.080,0.208,0.208,186.122,4302,37
15,0.000,2080,2080,2080,81.735,106.602,81.536,106.496,0.208,0.208,89.989,2080,41
16,0.000,2618,2618,2618,80.871,110.062,80.704,110.032,0.208,0.208,113.265,2618,48
17,0.000,3205,3205,3205,46.706,112.008,46.592,111.904,0.208,0.208,138.661,3205,46
18,0.000,1509,1509,1509,46.274,106.602,46.176,106.496,0.208,0.208,65.285,1509,46
19,0.000,4766,4766,4766,43.895,101.629,43.888,101.504,0.208,0.208,206.196,4766,42
20,0.000,5538,5538,5538,51.031,111.143,50.960,111.072,0.208,0.208,239.596,5538,39
21,0.000,3450,3450,3450,46.706,114.819,46.592,114.816,0.208,0.208,149.261,3450,39
22,0.000,1504,1504,1504,62.923,112.008,62.816,111.904,0.208,0.208,65.069,1504,37
23,0.000,130,130,130,62.058,115.684,61.984,115.648,0.208,0.208,5.624,130,37
24,0.000,5859,5859,5859,56.869,116.765,56.784,116.688,0.208,0.208,253.484,5859,35
25,0.000,1987,1987,1987,59.464,113.521,59.280,113.360,0.208,0.208,85.966,1987,35
26,0.000,2448,2448,2448,59.680,114.386,59.488,114.192,0.208,0.208,105.910,2448,37
27,0.000,3297,3297,3297,46.057,75.465,45.968,75.296,0.208,0.208,142.641,3297,35
28,0.000,901,901,901,46.490,78.276,46.384,78.208,0.208,0.208,38.981,901,34
29,0.000,2310,2310,2310,40.651,72.654,40.560,72.592,0.208,0.208,99.940,2310,37
30,0.000,1914,1914,1914,44.544,70.491,44.512,70.304,0.208,0.208,82.807,1914,37
31,0.000,1812,1812,1812,35.894,75.465,35.776,75.296,0.208,0.208,78.394,1812,40
32,0.000,2077,2077,2077,57.950,110.710,57.824,110.656,0.208,0.208,89.859,2077,43
33,0.000,2080,2080,2080,56.436,111.792,56.368,111.696,0.208,0.208,89.989,2080,43
34,0.000,1513,1513,1513,44.760,102.061,44.720,101.920,0.208,0.208,65.458,1513,45
35,0.000,1285,1285,1285,46.057,104.440,45.968,104.416,0.208,0.208,55.594,1285,44
36,0.000,3435,3435,3435,33.083,116.765,33.072,116.688,0.208,0.208,148.612,3435,44
37,0.000,1411,1411,1411,29.407,113.089,29.328,112.944,0.208,0.208,61.046,1411,45
38,0.000,4254,4254,4254,32.002,108.116,31.824,107.952,0.208,0.208,184.045,4254,41
39,0.000,3944,3944,3944,32.435,109.846,32.240,109.824,0.208,0.208,170.633,3944,41
40,0.000,2730,2730,2730,38.273,107.251,38.272,107.120,0.208,0.208,118.111,2730,45
41,0.000,4160,4160,4160,37.840,112.224,37.648,112.112,0.208,0.208,179.978,4160,45
42,0.000,2737,2737,2737,42.598,113.738,42.432,113.568,0.208,0.208,118.414,2737,46
43,0.000,4409,4409,4409,40.003,119.360,39.936,119.184,0.208,0.208,190.751,4409,46
44,0.000,5589,5589,5589,43.030,112.657,42.848,112.528,0.208,0.208,241.802,5589,53
45,0.000,1902,1902,1902,56.436,107.899,56.368,107.744,0.208,0.208,82.288,1902,48
46,0.000,1926,1926,1926,74.600,98.125,74.464,97.968,0.208,0.208,83.326,1926,57
47,0.000,1945,1945,1945,78.276,96.611,78.208,96.512,0.208,0.208,84.148,1945,56
48,0.000,4040,4040,4040,72.654,100.936,72.592,100.880,0.208,0.208,174.787,4040,59
49,0.000,1654,1654,1654,61.626,101.584,61.568,101.504,0.208,0.208,71.559,1654,66
50,0.000,1867,1867,1867,52.977,100.503,52.832,100.464,0.208,0.208,80.774,1867,69
51,0.000,1820,1820,1820,43.895,144.398,43.888,144.352,0.208,0.208,78.740,1820,54
52,0.000,3276,3276,3276,45.409,146.777,45.344,146.640,0.208,0.208,141.733,3276,54
53,0.000,2460,2460,2460,47.138,147.858,47.008,147.680,0.208,0.208,106.429,2460,54
54,0.000,915,915,915,54.490,145.912,54.288,145.808,0.208,0.208,39.587,915,55
55,0.000,1316,1316,1316,86.493,110.450,86.320,110.448,0.208,0.208,56.935,1316,22
56,0.000,5037,5037,5037,67.464,87.097,67.392,86.944,0.208,0.208,217.921,5037,21
57,0.000,2773,2773,2773,68.329,82.772,68.224,82.576,0.208,0.208,119.971,2773,21
58,0.000,1983,1983,1983,69.194,80.178,69.056,80.080,0.208,0.208,85.793,1983,21
59,0.000,5531,5531,5531,42.814,113.477,42.640,113.360,0.208,0.208,239.293,5531,15
60,0.000,1647,1647,1647,44.327,112.180,44.304,112.112,0.208,0.208,71.256,1647,15
