 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,0.000,1636,1636,1636,67.947,131.733,67.808,131.664,0.208,0.208,70.780,1636,27
2,0.000,1305,1305,1305,64.619,132.843,64.480,132.704,0.208,0.208,56.460,1305,30
3,0.000,122,122,122,62.677,133.675,62.608,133.536,0.208,0.208,5.278,122,36
4,0.000,1057,1057,1057,57.408,133.397,57.408,133.328,0.208,0.208,45.730,1057,39
5,0.000,2130,2130,2130,53.248,133.120,53.248,133.120,0.208,0.208,92.152,2130,41
6,0.000,1946,1946,1946,42.987,124.245,42.848,124.176,0.208,0.208,84.192,1946,40
7,0.000,190,190,190,40.491,122.581,40.352,122.512,0.208,0.208,8.220,190,40
8,0.000,3671,3671,3671,30.784,117.867,30.784,117.728,0.208,0.208,158.822,3671,42
9,0.000,1164,1164,1164,28.011,117.867,27.872,117.728,0.208,0.208,50.359,1164,40
10,0.000,1088,1088,1088,31.061,114.539,30.992,114.400,0.208,0.208,47.071,1088,38
11,0.000,1845,1845,1845,34.389,111.488,34.320,111.488,0.208,0.208,79.822,1845,32
12,0.000,1415,1415,1415,30.229,105.109,30.160,105.040,0.208,0.208,61.219,1415,32
13,0.000,1587,1587,1587,30.507,107.328,30.368,107.328,0.208,0.208,68.660,1587,32
14,0.000,1084,1084,1084,38.272,97.344,38.272,97.344,0.208,0.208,46.898,1084,32
15,0.000,768,768,768,37.717,99.008,37.648,99.008,0.208,0.208,33.227,768,29
16,0.000,937,937,937,46.315,120.917,46.176,120.848,0.208,0.208,40.538,937,29
17,0.000,1822,1822,1822,45.205,117.867,45.136,117.728,0.208,0.208,78.827,1822,28
18,0.000,1720,1720,1720,34.112,109.824,34.112,109.824,0.208,0.208,74.414,1720,26
19,0.000,2192,2192,2192,35.776,98.176,35.776,98.176,0.208,0.208,94.835,2192,23
20,0.000,866,866,866,29.952,123.136,29.952,123.136,0.208,0.208,37.467,866,30
21,0.000,3167,3167,3167,37.163,129.515,37.024,129.376,0.208,0.208,137.017,3167,29
22,0.000,1004,1004,1004,32.171,127.296,32.032,127.296,0.208,0.208,43.437,1004,30
23,0.000,812,812,812,34.944,126.741,34.944,126.672,0.208,0.208,35.130,812,29
24,0.000,1868,1868,1868,39.936,132.843,39.936,132.704,0.208,0.208,80.817,1868,31
25,0.000,1374,1374,1374,42.155,131.733,42.016,131.664,0.208,0.208,59.445,1374,33
26,0.000,1035,1035,1035,41.877,135.616,41.808,135.616,0.208,0.208,44.778,1035,37
27,0.000,1556,1556,1556,41.600,143.936,41.600,143.936,0.208,0.208,67.319,1556,37
28,0.000,1357,1357,1357,39.659,146.155,39.520,146.016,0.208,0.208,58.709,1357,39
29,0.000,2650,2650,2650,46.037,135.061,45.968,134.992,0.208,0.208,114.650,2650,37
30,0.000,2229,2229,2229,53.803,135.616,53.664,135.616,0.208,0.208,96.435,2229,35
31,0.000,1960,1960,1960,22.741,113.429,22.672,113.360,0.208,0.208,84.797,1960,34
32,0.000,1142,1142,1142,24.128,110.933,24.128,110.864,0.208,0.208,49.407,1142,34
33,0.000,2322,2322,2322,22.187,107.328,22.048,107.328,0.208,0.208,100.459,2322,33
34,0.000,2037,2037,2037,19.968,110.933,19.968,110.864,0.208,0.208,88.129,2037,32
35,0.000,396,396,396,26.901,117.312,26.832,117.312,0.208,0.208,17.133,396,34
36,0.000,2247,2247,2247,23.296,118.699,23.296,118.560,0.208,0.208,97.214,2247,34
37,0.000,669,669,669,34.667,120.363,34.528,120.224,0.208,0.208,28.944,669,29
38,0.000,2054,2054,2054,23.019,125.909,22.880,125.840,0.208,0.208,88.864,2054,42
39,0.000,907,907,907,24.128,134.784,24.128,134.784,0.208,0.208,39.240,907,52
40,0.000,604,604,604,28.288,139.221,28.288,139.152,0.208,0.208,26.131,604,52
41,0.000,842,842,842,36.608,137.557,36.608,137.488,0.208,0.208,36.428,842,50
42,0.000,2859,2859,2859,37.717,143.659,37.648,143.520,0.208,0.208,123.692,2859,49
