 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,0.000,704,704,704,82.992,132.565,82.992,132.496,0.208,0.208,30.458,704,27
2,0.000,1400,1400,1400,80.773,132.288,80.704,132.288,0.208,0.208,60.570,1400,29
3,0.000,2047,2047,2047,79.109,132.011,79.040,131.872,0.208,0.208,88.561,2047,30
4,0.000,951,951,951,76.059,132.565,75.920,132.496,0.208,0.208,41.144,951,31
5,0.000,1387,1387,1387,69.680,131.456,69.680,131.456,0.208,0.208,60.007,1387,33
6,0.000,2929,2929,2929,61.360,123.691,61.360,123.552,0.208,0.208,126.720,2929,30
7,0.000,2594,2594,2594,57.755,121.195,57.616,121.056,0.208,0.208,112.227,2594,32
8,0.000,2636,2636,2636,49.157,117.867,49.088,117.728,0.208,0.208,114.044,2636,30
9,0.000,2764,2764,2764,46.661,117.589,46.592,117.520,0.208,0.208,119.582,2764,27
10,0.000,3763,3763,3763,50.267,113.707,50.128,113.568,0.208,0.208,162.802,3763,26
11,0.000,4198,4198,4198,53.595,111.211,53.456,111.072,0.208,0.208,181.622,4198,23
12,0.000,8399,8399,8399,49.157,105.109,49.088,105.040,0.208,0.208,363.374,8399,23
13,0.000,4004,4004,4004,49.712,107.328,49.712,107.328,0.208,0.208,173.229,4004,22
14,0.000,5117,5117,5117,55.259,99.285,55.120,99.216,0.208,0.208,221.382,5117,19
15,0.000,1879,1879,1879,53.595,101.227,53.456,101.088,0.208,0.208,81.293,1879,20
16,0.000,1519,1519,1519,65.520,120.917,65.520,120.848,0.208,0.208,65.718,1519,20
17,0.000,2495,2495,2495,64.411,118.144,64.272,118.144,0.208,0.208,107.944,2495,19
18,0.000,6370,6370,6370,53.317,109.824,53.248,109.824,0.208,0.208,275.592,6370,18
19,0.000,1194,1194,1194,55.259,99.285,55.120,99.216,0.208,0.208,51.657,1194,18
20,0.000,3321,3321,3321,49.712,124.245,49.712,124.176,0.208,0.208,143.680,3321,19
21,0.000,2980,2980,2980,56.645,129.792,56.576,129.792,0.208,0.208,128.927,2980,18
22,0.000,3331,3331,3331,51.653,127.019,51.584,126.880,0.208,0.208,144.112,3331,18
23,0.000,2628,2628,2628,54.704,126.464,54.704,126.464,0.208,0.208,113.698,2628,19
24,0.000,5656,5656,5656,59.419,132.565,59.280,132.496,0.208,0.208,244.701,5656,20
25,0.000,1513,1513,1513,61.360,131.733,61.360,131.664,0.208,0.208,65.458,1513,23
26,0.000,1870,1870,1870,61.360,135.061,61.360,134.992,0.208,0.208,80.904,1870,24
27,0.000,408,408,408,60.805,143.659,60.736,143.520,0.208,0.208,17.652,408,23
28,0.000,1763,1763,1763,58.587,144.768,58.448,144.768,0.208,0.208,76.274,1763,25
29,0.000,5137,5137,5137,65.243,134.507,65.104,134.368,0.208,0.208,222.247,5137,27
30,0.000,2314,2314,2314,72.453,134.507,72.384,134.368,0.208,0.208,100.113,2314,26
31,0.000,3350,3350,3350,41.392,113.429,41.392,113.360,0.208,0.208,144.934,3350,22
32,0.000,1754,1754,1754,43.056,110.933,43.056,110.864,0.208,0.208,75.885,1754,22
33,0.000,3392,3392,3392,41.669,108.437,41.600,108.368,0.208,0.208,146.751,3392,22
34,0.000,2550,2550,2550,38.896,110.379,38.896,110.240,0.208,0.208,110.323,2550,20
35,0.000,3362,3362,3362,45.275,117.312,45.136,117.312,0.208,0.208,145.454,3362,21
36,0.000,4267,4267,4267,42.501,118.699,42.432,118.560,0.208,0.208,184.607,4267,21
37,0.000,3187,3187,3187,53.595,120.917,53.456,120.848,0.208,0.208,137.882,3187,19
38,0.000,3569,3569,3569,41.115,125.909,40.976,125.840,0.208,0.208,154.409,3569,29
39,0.000,2707,2707,2707,41.669,135.893,41.600,135.824,0.208,0.208,117.116,2707,35
40,0.000,1988,1988,1988,46.107,140.053,45.968,139.984,0.208,0.208,86.009,1988,38
41,0.000,1319,1319,1319,54.427,137.557,54.288,137.488,0.208,0.208,57.065,1319,36
42,0.000,2472,2472,2472,56.091,143.659,55.952,143.520,0.208,0.208,106.949,2472,36
