 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,0.000,1469,1469,1469,141.371,153.573,141.232,153.504,0.208,0.208,63.555,1469,38
2,0.000,201,201,201,145.808,148.304,145.808,148.304,0.208,0.208,8.696,201,40
3,0.000,2332,2332,2332,166.885,130.277,166.816,130.208,0.208,0.208,100.892,2332,41
4,0.000,2681,2681,2681,159.952,137.765,159.952,137.696,0.208,0.208,115.991,2681,37
5,0.000,4687,4687,4687,153.296,144.421,153.296,144.352,0.208,0.208,202.778,4687,35
6,0.000,2498,2498,2498,176.592,146.917,176.592,146.848,0.208,0.208,108.073,2498,45
7,0.000,881,881,881,175.205,147.195,175.136,147.056,0.208,0.208,38.116,881,44
8,0.000,3443,3443,3443,181.029,136.656,180.960,136.656,0.208,0.208,148.958,3443,52
9,0.000,4057,4057,4057,178.533,134.715,178.464,134.576,0.208,0.208,175.522,4057,52
10,0.000,3885,3885,3885,179.365,142.757,179.296,142.688,0.208,0.208,168.081,3885,52
11,0.000,1925,1925,1925,182.971,138.320,182.832,138.320,0.208,0.208,83.283,1925,54
12,0.000,2561,2561,2561,172.432,129.723,172.432,129.584,0.208,0.208,110.799,2561,58
13,0.000,733,733,733,185.467,148.859,185.328,148.720,0.208,0.208,31.713,733,59
14,0.000,3468,3468,3468,177.701,133.328,177.632,133.328,0.208,0.208,150.040,3468,48
15,0.000,1504,1504,1504,178.811,132.773,178.672,132.704,0.208,0.208,65.069,1504,46
16,0.000,1431,1431,1431,174.928,125.563,174.928,125.424,0.208,0.208,61.911,1431,50
17,0.000,569,569,569,166.053,126.949,165.984,126.880,0.208,0.208,24.617,569,47
18,0.000,4163,4163,4163,164.112,122.512,164.112,122.512,0.208,0.208,180.108,4163,46
19,0.000,1458,1458,1458,172.987,128.613,172.848,128.544,0.208,0.208,63.079,1458,54
20,0.000,3167,3167,3167,170.213,126.395,170.144,126.256,0.208,0.208,137.017,3167,54
21,0.000,2631,2631,2631,169.659,146.363,169.520,146.224,0.208,0.208,113.828,2631,56
22,0.000,2154,2154,2154,171.877,144.421,171.808,144.352,0.208,0.208,93.191,2154,56
23,0.000,1500,1500,1500,161.893,161.339,161.824,161.200,0.208,0.208,64.896,1500,65
24,0.000,1100,1100,1100,177.701,121.403,177.632,121.264,0.208,0.208,47.590,1100,44
25,0.000,1781,1781,1781,169.936,139.707,169.936,139.568,0.208,0.208,77.053,1781,54
26,0.000,2719,2719,2719,157.733,149.691,157.664,149.552,0.208,0.208,117.635,2719,53
27,0.000,1221,1221,1221,153.019,158.288,152.880,158.288,0.208,0.208,52.825,1221,51
28,0.000,2997,2997,2997,163.835,168.827,163.696,168.688,0.208,0.208,129.662,2997,53
29,0.000,2084,2084,2084,159.397,173.541,159.328,173.472,0.208,0.208,90.162,2084,53
30,0.000,2878,2878,2878,161.061,165.499,160.992,165.360,0.208,0.208,124.514,2878,54
31,0.000,1229,1229,1229,158.565,143.589,158.496,143.520,0.208,0.208,53.171,1229,55
32,0.000,1251,1251,1251,172.155,129.723,172.016,129.584,0.208,0.208,54.123,1251,59
33,0.000,2033,2033,2033,170.491,132.496,170.352,132.496,0.208,0.208,87.956,2033,59
34,0.000,1234,1234,1234,169.936,151.077,169.936,151.008,0.208,0.208,53.388,1234,61
35,0.000,2545,2545,2545,175.483,150.245,175.344,150.176,0.208,0.208,110.107,2545,63
36,0.000,1658,1658,1658,179.365,154.960,179.296,154.960,0.208,0.208,71.732,1658,63
37,0.000,510,510,510,163.003,171.323,162.864,171.184,0.208,0.208,22.065,510,65
38,0.000,4189,4189,4189,175.483,129.168,175.344,129.168,0.208,0.208,181.233,4189,65
39,0.000,1361,1361,1361,175.760,122.789,175.760,122.720,0.208,0.208,58.882,1361,65
40,0.000,965,965,965,176.315,136.933,176.176,136.864,0.208,0.208,41.750,965,68
