 ,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height,IntDen,RawIntDen,Slice
1,0,1305,1305,1305,683.667,735.667,683,735,1,1,1305,1305,39
2,0,1006,1006,1006,705.000,709.000,705,709,1,1,1006,1006,39
3,0,1932,1932,1932,802.333,625.000,802,625,1,1,1932,1932,40
4,0,981,981,981,771.667,661.000,771,661,1,1,981,981,36
5,0,1057,1057,1057,738.333,694.333,738,694,1,1,1057,1057,34
6,0,1115,1115,1115,851.667,701.000,851,701,1,1,1115,1115,44
7,0,1703,1703,1703,843.667,710.333,843,710,1,1,1703,1703,42
8,0,1230,1230,1230,871.667,658.333,871,658,1,1,1230,1230,50
9,0,1327,1327,1327,859.667,645.000,859,645,1,1,1327,1327,50
10,0,1895,1895,1895,866.333,683.667,866,683,1,1,1895,1895,51
11,0,1000,1000,1000,883.667,663.667,883,663,1,1,1000,1000,54
12,0,1408,1408,1408,829.000,626.333,829,626,1,1,1408,1408,57
13,0,2237,2237,2237,891.667,715.667,891,715,1,1,2237,2237,57
14,0,1560,1560,1560,857.000,642.333,857,642,1,1,1560,1560,47
15,0,829,829,829,858.333,641.000,858,641,1,1,829,829,46
16,0,835,835,835,841.000,602.333,841,602,1,1,835,835,47
17,0,1079,1079,1079,801.000,611.667,801,611,1,1,1079,1079,45
18,0,1785,1785,1785,789.000,591.667,789,591,1,1,1785,1785,45
19,0,1786,1786,1786,834.333,615.667,834,615,1,1,1786,1786,52
20,0,1757,1757,1757,814.333,609.000,814,609,1,1,1757,1757,52
21,0,1113,1113,1113,817.000,703.667,817,703,1,1,1113,1113,55
22,0,1284,1284,1284,826.333,695.667,826,695,1,1,1284,1284,55
23,0,1319,1319,1319,778.333,771.667,778,771,1,1,1319,1319,64
24,0,1087,1087,1087,853.000,586.333,853,586,1,1,1087,1087,44
25,0,1165,1165,1165,819.667,670.333,819,670,1,1,1165,1165,52
26,0,859,859,859,759.667,718.333,759,718,1,1,859,859,51
27,0,1282,1282,1282,739.667,758.333,739,758,1,1,1282,1282,49
28,0,2837,2837,2837,791.667,806.333,791,806,1,1,2837,2837,51
29,0,2208,2208,2208,771.667,830.333,771,830,1,1,2208,2208,51
30,0,1368,1368,1368,778.333,794.333,778,794,1,1,1368,1368,52
31,0,1433,1433,1433,762.333,687.667,762,687,1,1,1433,1433,54
32,0,1000,1000,1000,829.000,622.333,829,622,1,1,1000,1000,58
33,0,1252,1252,1252,818.333,638.333,818,638,1,1,1252,1252,58
34,0,811,811,811,819.667,727.667,819,727,1,1,811,811,60
35,0,259,259,259,847.667,725.000,847,725,1,1,259,259,61
36,0,1027,1027,1027,863.667,745.000,863,745,1,1,1027,1027,61
37,0,2046,2046,2046,783.667,822.333,783,822,1,1,2046,2046,64
38,0,1621,1621,1621,839.667,622.333,839,622,1,1,1621,1621,64
39,0,1796,1796,1796,842.333,589.000,842,589,1,1,1796,1796,64
40,0,1331,1331,1331,843.667,655.667,843,655,1,1,1331,1331,66
