 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,4083,0,4083,4083,4083,114.539,125.632,114.400,125.632,0.208,0.208,18
2,0.000,4405,0,4405,4405,4405,116.203,123.136,116.064,123.136,0.208,0.208,19
3,0.000,6356,0,6356,6356,6356,117.035,126.187,116.896,126.048,0.208,0.208,21
4,0.000,1712,0,1712,1712,1712,118.699,123.691,118.560,123.552,0.208,0.208,23
5,0.000,4890,0,4890,4890,4890,116.203,122.304,116.064,122.304,0.208,0.208,27
6,0.000,2711,0,2711,2711,2711,117.312,123.136,117.312,123.136,0.208,0.208,29
7,0.000,6390,0,6390,6390,6390,117.589,121.195,117.520,121.056,0.208,0.208,32
8,0.000,4135,0,4135,4135,4135,115.925,130.069,115.856,130.000,0.208,0.208,27
9,0.000,2524,0,2524,2524,2524,117.035,131.733,116.896,131.664,0.208,0.208,31
10,0.000,6344,0,6344,6344,6344,116.203,128.405,116.064,128.336,0.208,0.208,32
11,0.000,1178,0,1178,1178,1178,120.640,122.581,120.640,122.512,0.208,0.208,28
12,0.000,4326,0,4326,4326,4326,122.859,121.749,122.720,121.680,0.208,0.208,30
13,0.000,7279,0,7279,7279,7279,120.363,135.893,120.224,135.824,0.208,0.208,33
14,0.000,1517,0,1517,1517,1517,123.413,141.995,123.344,141.856,0.208,0.208,30
15,0.000,1937,0,1937,1937,1937,125.355,142.827,125.216,142.688,0.208,0.208,30
16,0.000,5242,0,5242,5242,5242,120.917,134.784,120.848,134.784,0.208,0.208,21
17,0.000,6225,0,6225,6225,6225,134.784,137.280,134.784,137.280,0.208,0.208,23
18,0.000,9022,0,9022,9022,9022,130.347,133.120,130.208,133.120,0.208,0.208,24
19,0.000,9088,0,9088,9088,9088,131.179,139.221,131.040,139.152,0.208,0.208,25
20,0.000,3578,0,3578,3578,3578,130.347,142.549,130.208,142.480,0.208,0.208,27
21,0.000,6963,0,6963,6963,6963,139.499,134.784,139.360,134.784,0.208,0.208,25
22,0.000,4342,0,4342,4342,4342,140.053,139.499,139.984,139.360,0.208,0.208,26
23,0.000,8230,0,8230,8230,8230,137.835,144.768,137.696,144.768,0.208,0.208,23
24,0.000,3605,0,3605,3605,3605,137.835,131.456,137.696,131.456,0.208,0.208,23
25,0.000,4014,0,4014,4014,4014,136.448,130.069,136.448,130.000,0.208,0.208,21
26,0.000,6820,0,6820,6820,6820,139.776,128.128,139.776,128.128,0.208,0.208,25
27,0.000,1306,0,1306,1306,1306,140.885,125.077,140.816,125.008,0.208,0.208,25
28,0.000,639,0,639,639,639,139.776,122.027,139.776,121.888,0.208,0.208,25
29,0.000,3771,0,3771,3771,3771,137.835,116.203,137.696,116.064,0.208,0.208,25
30,0.000,4081,0,4081,4081,4081,135.061,116.480,134.992,116.480,0.208,0.208,24
31,0.000,4071,0,4071,4071,4071,135.339,113.707,135.200,113.568,0.208,0.208,24
32,0.000,7065,0,7065,7065,7065,133.397,125.355,133.328,125.216,0.208,0.208,26
33,0.000,5335,0,5335,5335,5335,133.952,120.917,133.952,120.848,0.208,0.208,27
34,0.000,4047,0,4047,4047,4047,131.179,128.960,131.040,128.960,0.208,0.208,28
35,0.000,7134,0,7134,7134,7134,138.112,145.600,138.112,145.600,0.208,0.208,35
36,0.000,3504,0,3504,3504,3504,140.885,145.877,140.816,145.808,0.208,0.208,35
37,0.000,3996,0,3996,3996,3996,130.624,146.709,130.624,146.640,0.208,0.208,35
38,0.000,4306,0,4306,4306,4306,132.843,134.784,132.704,134.784,0.208,0.208,28
39,0.000,5791,0,5791,5791,5791,132.565,106.773,132.496,106.704,0.208,0.208,23
40,0.000,2259,0,2259,2259,2259,128.405,104.832,128.336,104.832,0.208,0.208,20
41,0.000,5844,0,5844,5844,5844,125.355,105.387,125.216,105.248,0.208,0.208,17
42,0.000,2892,0,2892,2892,2892,110.379,96.512,110.240,96.512,0.208,0.208,14
43,0.000,4320,0,4320,4320,4320,104.555,112.320,104.416,112.320,0.208,0.208,24
44,0.000,8228,0,8228,8228,8228,105.109,109.269,105.040,109.200,0.208,0.208,24
45,0.000,5880,0,5880,5880,5880,105.109,99.008,105.040,99.008,0.208,0.208,24
46,0.000,2092,0,2092,2092,2092,120.363,122.859,120.224,122.720,0.208,0.208,24
47,0.000,7133,0,7133,7133,7133,113.707,118.699,113.568,118.560,0.208,0.208,24
