X,Y,Z
512,10,5
512,10,55
512,10,105
512,10,155
512,10,205
512,10,255
512,10,305
512,10,355
512,10,405
512,10,455
512,10,505
512,60,5
512,60,55
512,60,105
512,60,155
512,60,205
512,60,255
512,60,305
512,60,355
512,60,405
512,60,455
512,60,505
512,110,5
512,110,55
512,110,105
512,110,155
512,110,205
512,110,255
512,110,305
512,110,355
512,110,405
512,110,455
512,110,505
512,160,5
512,160,55
512,160,105
512,160,155
512,160,205
512,160,255
512,160,305
512,160,355
512,160,405
512,160,455
512,160,505
512,210,5
512,210,55
512,210,105
512,210,155
512,210,205
512,210,255
512,210,305
512,210,355
512,210,405
512,210,455
512,210,505
512,260,5
512,260,55
512,260,105
512,260,155
512,260,205
512,260,255
512,260,305
512,260,355
512,260,405
512,260,455
512,260,505
512,310,5
512,310,55
512,310,105
512,310,155
512,310,205
512,310,255
512,310,305
512,310,355
512,310,405
512,310,455
512,310,505
512,360,5
512,360,55
512,360,105
512,360,155
512,360,205
512,360,255
512,360,305
512,360,355
512,360,405
512,360,455
512,360,505
512,410,5
512,410,55
512,410,105
512,410,155
512,410,205
512,410,255
512,410,305
512,410,355
512,410,405
512,410,455
512,410,505
512,460,5
512,460,55
512,460,105
512,460,155
512,460,205
512,460,255
512,460,305
512,460,355
512,460,405
512,460,455
512,460,505
512,510,5
512,510,55
512,510,105
512,510,155
512,510,205
512,510,255
512,510,305
512,510,355
512,510,405
512,510,455
512,510,505
512,560,5
512,560,55
512,560,105
512,560,155
512,560,205
512,560,255
512,560,305
512,560,355
512,560,405
512,560,455
512,560,505
512,610,5
512,610,55
512,610,105
512,610,155
512,610,205
512,610,255
512,610,305
512,610,355
512,610,405
512,610,455
512,610,505
512,660,5
512,660,55
512,660,105
512,660,155
512,660,205
512,660,255
512,660,305
512,660,355
512,660,405
512,660,455
512,660,505
512,710,5
512,710,55
512,710,105
512,710,155
512,710,205
512,710,255
512,710,305
512,710,355
512,710,405
512,710,455
512,710,505
512,760,5
512,760,55
512,760,105
512,760,155
512,760,205
512,760,255
512,760,305
512,760,355
512,760,405
512,760,455
512,760,505
512,810,5
512,810,55
512,810,105
512,810,155
512,810,205
512,810,255
512,810,305
512,810,355
512,810,405
512,810,455
512,810,505
512,860,5
512,860,55
512,860,105
512,860,155
512,860,205
512,860,255
512,860,305
512,860,355
512,860,405
512,860,455
512,860,505
512,910,5
512,910,55
512,910,105
512,910,155
512,910,205
512,910,255
512,910,305
512,910,355
512,910,405
512,910,455
512,910,505
512,960,5
512,960,55
512,960,105
512,960,155
512,960,205
512,960,255
512,960,305
512,960,355
512,960,405
512,960,455
512,960,505
512,1010,5
512,1010,55
512,1010,105
512,1010,155
512,1010,205
512,1010,255
512,1010,305
512,1010,355
512,1010,405
512,1010,455
512,1010,505
