x1,y1,z1,core1,vcn1,x2,y2,z2,core2,vcn2,t,study_id,subject
124.799995,179.139999,15.600000,494.680115,361.781006,122.805542,178.044052,13.869565,376.749573,323.336975,0,1-0ZHT,1-0Z20
123.759995,172.899994,17.200001,378.067657,330.944916,122.122620,172.555664,14.724246,332.239075,299.333099,0,1-0ZHT,1-0Z20
125.839996,171.599991,23.200001,353.094788,332.464996,125.781082,173.382248,21.508820,340.823242,314.116943,0,1-0ZHT,1-0Z20
122.979996,172.379990,23.600000,363.735382,333.550781,122.775887,171.181152,23.038254,364.350220,315.229706,0,1-0ZHT,1-0Z20
107.639999,174.199997,23.600000,540.717102,471.227356,108.716522,171.882645,22.217180,406.317261,370.072998,0,1-0ZHT,1-0Z20
122.719994,167.699997,26.000000,420.412964,370.032898,124.380669,168.109695,23.998930,360.217102,325.085602,0,1-0ZHT,1-0Z20
116.999992,167.959991,26.400000,466.884216,400.000366,117.901329,170.176590,28.701710,449.556030,385.651672,0,1-0ZHT,1-0Z20
125.579994,167.959991,26.400000,466.449921,389.576904,124.250374,168.409378,27.630901,414.583496,357.355713,0,1-0ZHT,1-0Z20
125.839996,180.179993,27.200001,505.537903,437.785400,124.354630,180.035263,25.593754,454.642944,410.450378,0,1-0ZHT,1-0Z20
111.279999,171.599991,27.600000,458.632324,413.246826,111.019684,171.389328,30.951372,410.450378,390.102722,0,1-0ZHT,1-0Z20
115.179993,172.379990,27.600000,506.840820,426.927612,114.155167,173.290756,25.789967,415.855225,364.350220,0,1-0ZHT,1-0Z20
121.419998,174.199997,29.200001,447.774536,408.035095,122.177124,174.826004,28.106602,388.513062,357.355713,0,1-0ZHT,1-0Z20
113.619995,161.720001,36.000000,518.132935,467.318542,112.804283,162.527664,36.335060,442.879456,416.491089,0,1-0ZHT,1-0Z20
105.299995,158.079987,36.799999,574.593323,473.833191,104.710152,159.281967,36.312489,560.832275,432.387695,0,1-0ZHT,1-0Z20
100.879997,158.860001,36.799999,469.924408,440.391266,99.843666,160.484985,36.107475,456.550537,399.958618,0,1-0ZHT,1-0Z20
116.219994,161.459991,36.799999,514.658447,454.723511,117.133179,164.543777,35.964752,423.803528,393.917908,0,1-0ZHT,1-0Z20
110.239998,162.759995,36.799999,520.304443,470.358704,110.518593,163.546234,35.655243,444.787048,408.860718,0,1-0ZHT,1-0Z20
102.179993,164.319992,36.799999,507.709473,464.712677,102.298698,164.347305,37.909477,477.851990,428.572510,0,1-0ZHT,1-0Z20
106.599998,153.659988,37.600002,712.704224,615.418579,105.948181,154.938766,37.197430,637.771851,519.501099,0,1-0ZHT,1-0Z20
121.939995,158.860001,37.600002,498.154602,471.227356,121.340805,158.422531,36.259758,461.955383,414.901428,0,1-0ZHT,1-0Z20
100.879997,160.679993,37.600002,546.363159,479.044922,100.198387,161.471649,36.565556,453.371216,413.311768,0,1-0ZHT,1-0Z20
103.219994,161.459991,37.600002,525.516235,462.975433,102.627884,162.601151,36.181648,462.273315,404.727600,0,1-0ZHT,1-0Z20
111.279999,163.799988,37.600002,500.760498,463.409729,111.726547,164.257584,39.282646,480.713379,432.705627,0,1-0ZHT,1-0Z20
101.659996,171.079987,37.600002,707.058167,644.951721,101.518631,171.619705,35.604218,578.000610,526.813538,0,1-0ZHT,1-0Z20
97.759995,156.519989,38.000000,487.731140,446.905945,97.800453,157.450287,37.157597,466.088501,404.409668,0,1-0ZHT,1-0Z20
108.679993,164.579987,38.000000,568.947266,492.074280,108.098122,165.514160,36.645691,449.238098,417.762817,0,1-0ZHT,1-0Z20
105.559998,167.699997,38.000000,573.724731,528.122070,104.192581,167.734695,39.693310,541.756348,488.661682,0,1-0ZHT,1-0Z20
115.179993,169.259995,38.000000,482.085114,420.847290,113.232666,167.387466,37.449669,510.916931,406.317261,0,1-0ZHT,1-0Z20
121.679993,151.319992,38.400002,472.095947,431.487885,121.614838,151.477402,38.197830,401.866211,366.257812,0,1-0ZHT,1-0Z20
106.599998,169.519989,38.400002,677.525024,591.531494,105.435669,168.411407,35.698666,493.112732,453.689148,0,1-0ZHT,1-0Z20
98.799995,171.860001,38.400002,676.656372,601.520630,100.043083,171.845795,38.060398,646.673950,595.168945,0,1-0ZHT,1-0Z20
121.159996,162.239990,38.799999,505.537903,452.117676,119.900841,162.627792,37.776440,463.227112,425.393188,0,1-0ZHT,1-0Z20
