 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,152,0,152,152,152,97.760,259.480,97.760,259.480,0.520,0.520,211
2,0.000,127,0,127,127,127,95.333,134.333,95.160,134.160,0.520,0.520,211
3,0.000,181,0,181,181,181,92.907,253.933,92.560,253.760,0.520,0.520,194
4,0.000,124,0,124,124,124,88.747,131.560,88.400,131.560,0.520,0.520,194
5,0.000,177,0,177,177,177,104.693,278.547,104.520,278.200,0.520,0.520,245
6,0.000,127,0,127,127,127,107.120,125.667,107.120,125.320,0.520,0.520,245
7,0.000,124,0,124,124,124,87.013,134.333,86.840,134.160,0.520,0.520,178
8,0.000,184,0,184,184,184,89.440,244.920,89.440,244.920,0.520,0.520,178
9,0.000,197,0,197,197,197,94.987,257.747,94.640,257.400,0.520,0.520,198
10,0.000,122,0,122,122,122,90.480,141.960,90.480,141.960,0.520,0.520,198
11,0.000,123,0,123,123,123,93.600,143.347,93.600,143.000,0.520,0.520,222
12,0.000,177,0,177,177,177,100.533,270.573,100.360,270.400,0.520,0.520,222
13,0.000,182,0,182,182,182,105.733,281.667,105.560,281.320,0.520,0.520,251
14,0.000,128,0,128,128,128,105.733,133.293,105.560,133.120,0.520,0.520,251
15,0.000,163,0,163,163,163,99.493,263.293,99.320,263.120,0.520,0.520,213
16,0.000,128,0,128,128,128,94.640,139.880,94.640,139.880,0.520,0.520,213
17,0.000,163,0,163,163,163,105.733,274.733,105.560,274.560,0.520,0.520,239
18,0.000,131,0,131,131,131,105.387,136.760,105.040,136.760,0.520,0.520,239
19,0.000,172,0,172,172,172,96.720,258.093,96.720,257.920,0.520,0.520,205
20,0.000,123,0,123,123,123,95.333,153.053,95.160,152.880,0.520,0.520,205
21,0.000,166,0,166,166,166,88.053,234.867,87.880,234.520,0.520,0.520,164
22,0.000,127,0,127,127,127,78.347,164.147,78.000,163.800,0.520,0.520,164
23,0.000,175,0,175,175,175,98.453,268.840,98.280,268.840,0.520,0.520,223
24,0.000,128,0,128,128,128,94.640,147.507,94.640,147.160,0.520,0.520,218
25,0.000,173,0,173,173,173,93.600,253.587,93.600,253.240,0.520,0.520,191
26,0.000,130,0,130,130,130,88.400,151.320,88.400,151.320,0.520,0.520,191
