 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,219,219,219,105.560,276.640,251
2,0.000,146,146,146,101.920,167.960,251
3,0.000,146,146,146,100.360,271.960,238
4,0.000,130,130,130,100.880,153.920,238
5,0.000,150,150,150,96.720,257.920,221
6,0.000,130,130,130,97.760,172.640,221
7,0.000,154,154,154,93.600,250.120,202
8,0.000,127,127,127,94.120,174.200,202
9,0.000,126,126,126,95.680,170.040,215
10,0.000,137,137,137,99.840,260.000,215
11,0.000,134,134,134,101.920,264.160,231
12,0.000,132,132,132,100.880,181.480,231
13,0.000,133,133,133,101.920,269.880,244
14,0.000,144,144,144,102.960,185.120,244
15,0.000,165,165,165,97.760,260.520,222
16,0.000,122,122,122,101.920,185.640,222
17,0.000,118,118,118,95.680,172.640,211
18,0.000,137,137,137,101.400,257.920,211
