 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,129,129,129,220.483,274.564,149
2,0.000,118,118,118,223.256,197.603,149
3,0.000,128,128,128,224.123,193.443,160
4,0.000,133,133,133,223.083,282.884,160
5,0.000,114,114,114,225.683,197.083,174
6,0.000,124,124,124,223.603,287.044,174
7,0.000,112,112,112,232.963,195.523,186
8,0.000,121,121,121,227.243,291.204,186
9,0.000,120,120,120,231.403,210.083,198
10,0.000,143,143,143,227.243,299.524,198
11,0.000,128,128,128,231.403,210.603,211
12,0.000,142,142,142,231.403,307.844,211
13,0.000,127,127,127,232.963,208.523,225
14,0.000,135,135,135,231.403,310.444,225
15,0.000,121,121,121,234.523,208.003,242
16,0.000,123,123,123,237.123,309.924,242
17,0.000,122,122,122,237.123,205.403,252
18,0.000,120,120,120,240.243,310.444,252
19,0.000,116,116,116,234.523,207.483,268
20,0.000,117,117,117,241.283,318.244,268
21,0.000,117,117,117,236.603,206.443,279
22,0.000,122,122,122,245.963,321.364,279
23,0.000,116,116,116,235.563,212.683,293
24,0.000,143,143,143,250.644,324.485,293
25,0.000,116,116,116,232.963,200.723,267
26,0.000,118,118,118,242.323,314.604,267
27,0.000,116,116,116,233.483,208.523,245
28,0.000,116,116,116,237.123,309.924,245
29,0.000,143,143,143,228.803,209.563,215
30,0.000,124,124,124,235.043,299.524,215
31,0.000,120,120,120,227.763,207.483,199
32,0.000,130,130,130,229.843,297.964,199
33,0.000,117,117,117,227.243,206.443,184
34,0.000,127,127,127,227.763,289.644,184
35,0.000,117,117,117,224.643,199.163,170
36,0.000,135,135,135,226.203,289.124,170
37,0.000,120,120,120,223.083,200.203,157
38,0.000,133,133,133,222.563,279.764,157
39,0.000,116,116,116,220.483,200.203,142
40,0.000,148,148,148,219.443,265.204,142
