 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,157,0,157,157,157,82.507,221.173,82.160,221.000,0.520,0.520,176
2,0.000,119,0,119,119,119,85.280,131.040,85.280,131.040,0.520,0.520,176
3,0.000,121,0,121,121,121,84.933,220.133,84.760,219.960,0.520,0.520,182
4,0.000,119,0,119,119,119,85.973,134.160,85.800,134.160,0.520,0.520,182
5,0.000,114,0,114,114,114,84.240,221.173,84.240,221.000,0.520,0.520,189
6,0.000,117,0,117,117,117,87.707,133.120,87.360,133.120,0.520,0.520,189
7,0.000,116,0,116,116,116,86.320,222.907,86.320,222.560,0.520,0.520,196
8,0.000,119,0,119,119,119,88.400,133.467,88.400,133.120,0.520,0.520,196
9,0.000,116,0,116,116,116,88.747,227.413,88.400,227.240,0.520,0.520,204
10,0.000,121,0,121,121,121,90.133,128.267,89.960,127.920,0.520,0.520,204
11,0.000,121,0,121,121,121,89.093,227.760,88.920,227.760,0.520,0.520,213
12,0.000,115,0,115,115,115,92.213,126.880,92.040,126.880,0.520,0.520,213
13,0.000,116,0,116,116,116,92.907,233.307,92.560,232.960,0.520,0.520,222
14,0.000,122,0,122,122,122,91.173,126.187,91.000,125.840,0.520,0.520,222
15,0.000,121,0,121,121,121,91.520,233.653,91.520,233.480,0.520,0.520,231
16,0.000,120,0,120,120,120,93.600,132.080,93.600,132.080,0.520,0.520,231
17,0.000,119,0,119,119,119,93.947,232.960,93.600,232.960,0.520,0.520,240
18,0.000,114,0,114,114,114,94.293,132.773,94.120,132.600,0.520,0.520,240
19,0.000,120,0,120,120,120,92.560,237.120,92.560,237.120,0.520,0.520,248
20,0.000,110,0,110,110,110,94.987,131.733,94.640,131.560,0.520,0.520,248
21,0.000,120,0,120,120,120,89.440,226.027,89.440,225.680,0.520,0.520,210
22,0.000,121,0,121,121,121,89.787,140.053,89.440,139.880,0.520,0.520,210
23,0.000,113,0,113,113,113,85.627,219.440,85.280,219.440,0.520,0.520,190
24,0.000,118,0,118,118,118,87.707,133.120,87.360,133.120,0.520,0.520,190
25,0.000,118,0,118,118,118,85.280,212.853,85.280,212.680,0.520,0.520,177
26,0.000,121,0,121,121,121,86.667,136.933,86.320,136.760,0.520,0.520,177
27,0.000,123,0,123,123,123,81.467,214.933,81.120,214.760,0.520,0.520,164
28,0.000,126,0,126,126,126,81.467,136.933,81.120,136.760,0.520,0.520,164
29,0.000,124,0,124,124,124,77.653,198.640,77.480,198.640,0.520,0.520,135
30,0.000,123,0,123,123,123,77.653,133.467,77.480,133.120,0.520,0.520,135
31,0.000,120,0,120,120,120,76.267,192.400,75.920,192.400,0.520,0.520,126
32,0.000,115,0,115,115,115,78.347,138.667,78.000,138.320,0.520,0.520,126
33,0.000,122,0,122,122,122,78.000,200.027,78.000,199.680,0.520,0.520,142
34,0.000,117,0,117,117,117,78.693,135.893,78.520,135.720,0.520,0.520,142
35,0.000,114,0,114,114,114,78.000,200.027,78.000,199.680,0.520,0.520,150
36,0.000,113,0,113,113,113,78.347,124.107,78.000,123.760,0.520,0.520,150
37,0.000,121,0,121,121,121,83.200,220.827,83.200,220.480,0.520,0.520,181
38,0.000,116,0,116,116,116,85.973,133.813,85.800,133.640,0.520,0.520,181
39,0.000,120,0,120,120,120,93.253,236.773,93.080,236.600,0.520,0.520,229
40,0.000,120,0,120,120,120,92.560,134.160,92.560,134.160,0.520,0.520,229
41,0.000,120,0,120,120,120,91.867,239.200,91.520,239.200,0.520,0.520,235
42,0.000,123,0,123,123,123,93.253,141.093,93.080,140.920,0.520,0.520,235
43,0.000,123,0,123,123,123,94.640,243.707,94.640,243.360,0.520,0.520,251
44,0.000,122,0,122,122,122,96.720,142.133,96.720,141.960,0.520,0.520,251
45,0.000,142,0,142,142,142,82.160,217.707,82.160,217.360,0.520,0.520,169
46,0.000,121,0,121,121,121,83.200,130.693,83.200,130.520,0.520,0.520,169
