 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,116,0,116,116,116,75.227,133.813,74.880,133.640,0.520,0.520,130
2,0.000,157,0,157,157,157,74.533,197.600,74.360,197.600,0.520,0.520,130
3,0.000,129,0,129,129,129,73.493,126.533,73.320,126.360,0.520,0.520,137
4,0.000,130,0,130,130,130,77.307,200.027,76.960,199.680,0.520,0.520,137
5,0.000,117,0,117,117,117,73.840,125.840,73.840,125.840,0.520,0.520,146
6,0.000,133,0,133,133,133,77.307,206.960,76.960,206.960,0.520,0.520,146
7,0.000,129,0,129,129,129,77.307,126.880,76.960,126.880,0.520,0.520,155
8,0.000,142,0,142,142,142,77.653,214.587,77.480,214.240,0.520,0.520,155
9,0.000,135,0,135,135,135,79.040,128.960,79.040,128.960,0.520,0.520,165
10,0.000,141,0,141,141,141,79.387,218.400,79.040,218.400,0.520,0.520,165
11,0.000,200,0,200,200,200,78.347,136.933,78.000,136.760,0.520,0.520,180
12,0.000,158,0,158,158,158,81.120,228.453,81.120,228.280,0.520,0.520,180
13,0.000,122,0,122,122,122,80.427,139.360,80.080,139.360,0.520,0.520,188
14,0.000,139,0,139,139,139,85.627,230.187,85.280,229.840,0.520,0.520,188
15,0.000,200,0,200,200,200,82.507,139.360,82.160,139.360,0.520,0.520,197
16,0.000,142,0,142,142,142,88.053,235.040,87.880,235.040,0.520,0.520,197
17,0.000,120,0,120,120,120,85.280,150.107,85.280,149.760,0.520,0.520,206
18,0.000,140,0,140,140,140,89.787,238.160,89.440,238.160,0.520,0.520,206
19,0.000,119,0,119,119,119,87.013,146.293,86.840,146.120,0.520,0.520,216
20,0.000,126,0,126,126,126,93.947,240.587,93.600,240.240,0.520,0.520,216
21,0.000,124,0,124,124,124,90.827,150.453,90.480,150.280,0.520,0.520,225
22,0.000,124,0,124,124,124,94.293,243.707,94.120,243.360,0.520,0.520,225
23,0.000,118,0,118,118,118,92.560,154.613,92.560,154.440,0.520,0.520,234
24,0.000,116,0,116,116,116,94.293,245.093,94.120,244.920,0.520,0.520,234
25,0.000,123,0,123,123,123,88.747,159.813,88.400,159.640,0.520,0.520,244
26,0.000,120,0,120,120,120,97.067,241.627,96.720,241.280,0.520,0.520,244
27,0.000,118,0,118,118,118,89.787,150.800,89.440,150.800,0.520,0.520,214
28,0.000,130,0,130,130,130,92.907,236.080,92.560,236.080,0.520,0.520,214
29,0.000,115,0,115,115,115,84.933,153.573,84.760,153.400,0.520,0.520,199
30,0.000,132,0,132,132,132,89.440,232.960,89.440,232.960,0.520,0.520,199
31,0.000,114,0,114,114,114,85.973,154.613,85.800,154.440,0.520,0.520,190
32,0.000,128,0,128,128,128,88.053,228.107,87.880,227.760,0.520,0.520,190
33,0.000,110,0,110,110,110,81.467,156.693,81.120,156.520,0.520,0.520,177
34,0.000,138,0,138,138,138,85.627,224.640,85.280,224.640,0.520,0.520,177
35,0.000,137,0,137,137,137,77.307,144.560,76.960,144.560,0.520,0.520,153
36,0.000,136,0,136,136,136,80.773,210.080,80.600,210.080,0.520,0.520,153
37,0.000,120,0,120,120,120,77.653,145.600,77.480,145.600,0.520,0.520,144
38,0.000,141,0,141,141,141,76.960,202.107,76.960,201.760,0.520,0.520,144
39,0.000,125,0,125,125,125,74.880,137.973,74.880,137.800,0.520,0.520,134
40,0.000,123,0,123,123,123,77.653,198.293,77.480,198.120,0.520,0.520,134
41,0.000,130,0,130,130,130,74.533,146.987,74.360,146.640,0.520,0.520,126
42,0.000,125,0,125,125,125,77.307,193.440,76.960,193.440,0.520,0.520,126
43,0.000,120,0,120,120,120,81.120,140.747,81.120,140.400,0.520,0.520,162
44,0.000,133,0,133,133,133,81.467,215.973,81.120,215.800,0.520,0.520,162
45,0.000,116,0,116,116,116,73.840,153.227,73.840,152.880,0.520,0.520,167
46,0.000,120,0,120,120,120,77.307,212.160,76.960,212.160,0.520,0.520,167
47,0.000,126,0,126,126,126,76.613,138.667,76.440,138.320,0.520,0.520,139
48,0.000,138,0,138,138,138,76.613,200.373,76.440,200.200,0.520,0.520,139
49,0.000,117,0,117,117,117,79.040,143.173,79.040,143.000,0.520,0.520,159
50,0.000,141,0,141,141,141,81.467,213.893,81.120,213.720,0.520,0.520,159
51,0.000,112,0,112,112,112,87.707,148.027,87.360,147.680,0.520,0.520,207
52,0.000,127,0,127,127,127,89.787,232.613,89.440,232.440,0.520,0.520,207
53,0.000,119,0,119,119,119,91.867,159.813,91.520,159.640,0.520,0.520,220
54,0.000,125,0,125,125,125,93.947,244.400,93.600,244.400,0.520,0.520,220
55,0.000,113,0,113,113,113,88.400,162.240,88.400,162.240,0.520,0.520,211
56,0.000,119,0,119,119,119,90.827,230.880,90.480,230.880,0.520,0.520,211
