 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,141,141,141,104.000,292.587,233
2,0.000,133,133,133,99.147,203.840,233
3,0.000,129,129,129,99.147,284.267,213
4,0.000,123,123,123,94.293,178.880,213
5,0.000,129,129,129,98.453,278.027,202
6,0.000,124,124,124,92.213,180.267,202
7,0.000,120,120,120,94.293,268.320,183
8,0.000,125,125,125,88.747,176.800,183
9,0.000,133,133,133,97.760,281.493,204
10,0.000,122,122,122,92.907,181.653,204
11,0.000,120,120,120,97.067,279.413,207
12,0.000,124,124,124,92.907,184.427,207
13,0.000,119,119,119,98.453,280.800,212
14,0.000,130,130,130,93.600,183.733,212
15,0.000,122,122,122,101.227,283.573,219
16,0.000,122,122,122,94.987,187.893,219
17,0.000,122,122,122,100.533,287.733,226
18,0.000,123,123,123,96.373,182.347,226
19,0.000,128,128,128,104.693,289.120,240
20,0.000,128,128,128,99.147,203.147,240
21,0.000,135,135,135,105.387,289.120,250
22,0.000,128,128,128,102.613,200.373,250
23,0.000,124,124,124,97.067,271.093,188
24,0.000,113,113,113,90.133,172.640,188
25,0.000,127,127,127,93.600,268.320,181
26,0.000,122,122,122,88.747,178.187,181
27,0.000,128,128,128,87.360,250.293,153
28,0.000,111,111,111,83.893,175.413,153
29,0.000,122,122,122,87.360,244.053,146
30,0.000,111,111,111,81.120,174.720,146
31,0.000,125,125,125,90.133,254.453,159
32,0.000,111,111,111,83.893,171.253,159
