 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,134,0,134,134,134,90.827,217.013,90.480,216.840,0.520,0.520,90
2,0.000,124,0,124,124,124,95.333,152.187,95.160,151.840,0.520,0.520,90
3,0.000,144,0,144,144,144,90.827,220.827,90.480,220.480,0.520,0.520,94
4,0.000,155,0,155,155,155,95.680,159.813,95.680,159.640,0.520,0.520,94
5,0.000,145,0,145,145,145,91.520,224.293,91.520,224.120,0.520,0.520,97
6,0.000,124,0,124,124,124,96.027,157.387,95.680,157.040,0.520,0.520,97
7,0.000,143,0,143,143,143,92.907,231.920,92.560,231.920,0.520,0.520,107
8,0.000,146,0,146,146,146,99.493,165.707,99.320,165.360,0.520,0.520,107
9,0.000,141,0,141,141,141,95.680,232.960,95.680,232.960,0.520,0.520,112
10,0.000,150,0,150,150,150,98.800,166.747,98.800,166.400,0.520,0.520,112
11,0.000,130,0,130,130,130,95.680,240.933,95.680,240.760,0.520,0.520,123
12,0.000,135,0,135,135,135,98.800,173.333,98.800,173.160,0.520,0.520,123
13,0.000,137,0,137,137,137,97.760,246.133,97.760,245.960,0.520,0.520,129
14,0.000,134,0,134,134,134,100.187,172.293,99.840,172.120,0.520,0.520,129
15,0.000,134,0,134,134,134,98.800,248.213,98.800,248.040,0.520,0.520,135
16,0.000,130,0,130,130,130,100.187,174.720,99.840,174.720,0.520,0.520,135
17,0.000,144,0,144,144,144,99.493,255.840,99.320,255.840,0.520,0.520,142
18,0.000,123,0,123,123,123,101.227,172.640,100.880,172.640,0.520,0.520,142
19,0.000,124,0,124,124,124,99.493,255.147,99.320,254.800,0.520,0.520,149
20,0.000,127,0,127,127,127,101.920,174.720,101.920,174.720,0.520,0.520,149
21,0.000,134,0,134,134,134,101.920,261.387,101.920,261.040,0.520,0.520,155
22,0.000,121,0,121,121,121,103.307,178.187,102.960,177.840,0.520,0.520,155
23,0.000,126,0,126,126,126,101.573,264.507,101.400,264.160,0.520,0.520,162
24,0.000,129,0,129,129,129,105.733,177.840,105.560,177.840,0.520,0.520,162
25,0.000,136,0,136,136,136,101.920,267.973,101.920,267.800,0.520,0.520,168
26,0.000,117,0,117,117,117,104.693,181.307,104.520,180.960,0.520,0.520,168
27,0.000,130,0,130,130,130,99.147,267.973,98.800,267.800,0.520,0.520,174
28,0.000,128,0,128,128,128,105.733,177.493,105.560,177.320,0.520,0.520,174
29,0.000,128,0,128,128,128,102.267,266.240,101.920,266.240,0.520,0.520,171
30,0.000,130,0,130,130,130,105.387,178.187,105.040,177.840,0.520,0.520,171
31,0.000,152,0,152,152,152,101.227,268.320,100.880,268.320,0.520,0.520,167
32,0.000,136,0,136,136,136,105.733,177.493,105.560,177.320,0.520,0.520,167
33,0.000,154,0,154,154,154,103.307,264.160,102.960,264.160,0.520,0.520,158
34,0.000,123,0,123,123,123,104.693,179.920,104.520,179.920,0.520,0.520,158
35,0.000,138,0,138,138,138,100.533,259.307,100.360,258.960,0.520,0.520,150
36,0.000,123,0,123,123,123,102.960,177.147,102.960,176.800,0.520,0.520,150
37,0.000,167,0,167,167,167,96.720,244.747,96.720,244.400,0.520,0.520,126
38,0.000,129,0,129,129,129,99.840,175.760,99.840,175.760,0.520,0.520,126
39,0.000,147,0,147,147,147,96.027,232.267,95.680,231.920,0.520,0.520,105
40,0.000,142,0,142,142,142,95.333,174.027,95.160,173.680,0.520,0.520,105
41,0.000,128,0,128,128,128,92.560,222.907,92.560,222.560,0.520,0.520,98
42,0.000,152,0,152,152,152,96.720,169.173,96.720,169.000,0.520,0.520,98
