 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,129,129,129,72.801,217.883,117
2,0.000,116,116,116,72.281,138.842,117
3,0.000,135,135,135,71.761,225.163,130
4,0.000,120,120,120,75.401,131.562,130
5,0.000,136,136,136,74.881,227.763,138
6,0.000,120,120,120,77.481,136.762,138
7,0.000,134,134,134,74.361,231.923,146
8,0.000,119,119,119,79.561,131.562,146
9,0.000,129,129,129,77.481,237.643,155
10,0.000,118,118,118,80.081,141.962,155
11,0.000,127,127,127,78.521,240.763,163
12,0.000,119,119,119,82.681,147.162,163
13,0.000,137,137,137,79.561,244.923,171
14,0.000,114,114,114,85.801,154.442,171
15,0.000,134,134,134,80.601,248.563,178
16,0.000,114,114,114,83.721,159.642,178
17,0.000,140,140,140,81.121,253.244,185
18,0.000,120,120,120,86.841,156.522,185
19,0.000,141,141,141,78.521,259.484,195
20,0.000,116,116,116,87.881,158.082,195
21,0.000,126,126,126,82.161,261.564,203
22,0.000,116,116,116,88.401,164.322,203
23,0.000,121,121,121,84.761,265.724,210
24,0.000,119,119,119,94.121,162.762,210
25,0.000,120,120,120,87.361,271.964,218
26,0.000,119,119,119,90.481,169.522,218
27,0.000,130,130,130,88.921,277.164,226
28,0.000,125,125,125,92.041,175.242,226
29,0.000,131,131,131,89.961,275.084,235
30,0.000,119,119,119,94.121,174.202,235
31,0.000,135,135,135,89.441,280.284,244
32,0.000,115,115,115,96.201,178.362,244
33,0.000,117,117,117,91.001,275.084,251
34,0.000,115,115,115,98.281,176.282,251
