 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,136,136,136,59.800,274.560,113
2,0.000,121,121,121,63.960,224.120,113
3,0.000,123,123,123,60.320,276.120,119
4,0.000,126,126,126,65.000,217.880,119
5,0.000,132,132,132,58.760,276.640,125
6,0.000,128,128,128,66.040,221.520,125
7,0.000,128,128,128,59.800,283.920,131
8,0.000,111,111,111,68.120,219.440,131
9,0.000,132,132,132,60.320,289.120,139
10,0.000,118,118,118,67.600,223.080,139
11,0.000,129,129,129,62.920,292.240,147
12,0.000,118,118,118,70.720,221.520,147
13,0.000,131,131,131,62.920,296.400,155
14,0.000,114,114,114,70.200,218.400,155
15,0.000,146,146,146,64.480,303.160,162
16,0.000,124,124,124,73.840,207.480,162
17,0.000,132,132,132,66.040,305.760,170
18,0.000,122,122,122,73.840,205.920,170
19,0.000,130,130,130,68.640,307.840,178
20,0.000,117,117,117,76.440,208.000,178
21,0.000,129,129,129,70.200,312.000,187
22,0.000,122,122,122,77.480,216.320,187
23,0.000,173,173,173,71.240,318.760,194
24,0.000,132,132,132,79.560,213.200,194
25,0.000,142,142,142,73.840,319.280,202
26,0.000,130,130,130,82.680,210.080,202
27,0.000,149,149,149,74.360,324.480,210
28,0.000,121,121,121,83.720,215.800,210
29,0.000,141,141,141,74.360,323.440,217
30,0.000,126,126,126,82.680,214.760,217
31,0.000,149,149,149,74.360,329.160,224
32,0.000,124,124,124,84.760,209.560,224
33,0.000,138,138,138,77.480,329.680,231
34,0.000,129,129,129,82.680,212.680,231
35,0.000,145,145,145,78.520,334.880,238
36,0.000,127,127,127,84.240,215.800,238
37,0.000,131,131,131,79.560,335.920,245
38,0.000,122,122,122,85.800,223.080,245
39,0.000,128,128,128,80.080,338.000,251
40,0.000,116,116,116,86.320,228.800,251
41,0.000,162,162,162,74.360,328.640,219
42,0.000,128,128,128,81.640,216.320,219
