 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,125,0,125,125,125,86.667,167.093,86.320,166.920,0.520,0.520,133
2,0.000,183,0,183,183,183,88.400,257.573,88.400,257.400,0.520,0.520,133
3,0.000,180,0,180,180,180,89.093,260.693,88.920,260.520,0.520,0.520,137
4,0.000,118,0,118,118,118,87.707,160.507,87.360,160.160,0.520,0.520,137
5,0.000,177,0,177,177,177,89.787,263.120,89.440,263.120,0.520,0.520,140
6,0.000,119,0,119,119,119,87.360,157.387,87.360,157.040,0.520,0.520,140
7,0.000,166,0,166,166,166,90.133,265.200,89.960,265.200,0.520,0.520,144
8,0.000,143,0,143,143,143,86.320,161.200,86.320,161.200,0.520,0.520,144
9,0.000,149,0,149,149,149,92.560,269.707,92.560,269.360,0.520,0.520,149
10,0.000,120,0,120,120,120,86.667,162.933,86.320,162.760,0.520,0.520,149
11,0.000,144,0,144,144,144,92.213,272.480,92.040,272.480,0.520,0.520,154
12,0.000,119,0,119,119,119,91.173,160.853,91.000,160.680,0.520,0.520,154
13,0.000,142,0,142,142,142,92.560,278.027,92.560,277.680,0.520,0.520,159
14,0.000,120,0,120,120,120,90.480,165.360,90.480,165.360,0.520,0.520,159
15,0.000,132,0,132,132,132,92.907,281.493,92.560,281.320,0.520,0.520,164
16,0.000,128,0,128,128,128,89.787,175.413,89.440,175.240,0.520,0.520,164
17,0.000,130,0,130,130,130,93.253,282.533,93.080,282.360,0.520,0.520,169
18,0.000,128,0,128,128,128,93.253,177.493,93.080,177.320,0.520,0.520,169
19,0.000,150,0,150,150,150,97.413,289.120,97.240,289.120,0.520,0.520,173
20,0.000,119,0,119,119,119,92.213,184.080,92.040,184.080,0.520,0.520,173
21,0.000,141,0,141,141,141,96.027,289.467,95.680,289.120,0.520,0.520,176
22,0.000,116,0,116,116,116,95.680,180.960,95.680,180.960,0.520,0.520,176
23,0.000,191,0,191,191,191,98.800,289.120,98.800,289.120,0.520,0.520,181
24,0.000,125,0,125,125,125,97.413,183.387,97.240,183.040,0.520,0.520,181
25,0.000,584,0,584,584,584,98.800,292.240,98.800,292.240,0.520,0.520,186
26,0.000,117,0,117,117,117,97.760,188.587,97.760,188.240,0.520,0.520,186
27,0.000,484,0,484,484,484,100.187,292.240,99.840,292.240,0.520,0.520,191
28,0.000,118,0,118,118,118,95.680,193.093,95.680,192.920,0.520,0.520,191
29,0.000,203,0,203,203,203,99.493,295.013,99.320,294.840,0.520,0.520,197
30,0.000,112,0,112,112,112,100.187,200.027,99.840,199.680,0.520,0.520,197
31,0.000,137,0,137,137,137,100.880,298.480,100.880,298.480,0.520,0.520,202
32,0.000,114,0,114,114,114,99.840,198.293,99.840,198.120,0.520,0.520,202
33,0.000,139,0,139,139,139,100.880,301.253,100.880,301.080,0.520,0.520,207
34,0.000,119,0,119,119,119,101.227,198.293,100.880,198.120,0.520,0.520,207
35,0.000,136,0,136,136,136,102.613,302.987,102.440,302.640,0.520,0.520,213
36,0.000,130,0,130,130,130,100.880,200.373,100.880,200.200,0.520,0.520,213
37,0.000,136,0,136,136,136,103.307,304.373,102.960,304.200,0.520,0.520,218
38,0.000,123,0,123,123,123,104.000,199.680,104.000,199.680,0.520,0.520,218
39,0.000,128,0,128,128,128,104.000,306.453,104.000,306.280,0.520,0.520,224
40,0.000,123,0,123,123,123,104.693,200.373,104.520,200.200,0.520,0.520,224
41,0.000,126,0,126,126,126,106.773,308.187,106.600,307.840,0.520,0.520,230
42,0.000,119,0,119,119,119,106.427,214.240,106.080,214.240,0.520,0.520,230
43,0.000,131,0,131,131,131,107.120,308.187,107.120,307.840,0.520,0.520,236
44,0.000,119,0,119,119,119,108.853,210.773,108.680,210.600,0.520,0.520,236
45,0.000,124,0,124,124,124,108.160,309.920,108.160,309.920,0.520,0.520,242
46,0.000,120,0,120,120,120,111.280,213.893,111.280,213.720,0.520,0.520,242
47,0.000,211,0,211,211,211,98.800,292.240,98.800,292.240,0.520,0.520,193
48,0.000,114,0,114,114,114,101.227,202.453,100.880,202.280,0.520,0.520,193
49,0.000,126,0,126,126,126,94.987,276.293,94.640,276.120,0.520,0.520,163
50,0.000,118,0,118,118,118,92.213,194.480,92.040,194.480,0.520,0.520,163
51,0.000,148,0,148,148,148,92.907,273.867,92.560,273.520,0.520,0.520,156
52,0.000,111,0,111,111,111,90.480,194.480,90.480,194.480,0.520,0.520,156
53,0.000,168,0,168,168,168,90.827,268.320,90.480,268.320,0.520,0.520,148
54,0.000,114,0,114,114,114,89.787,196.560,89.440,196.560,0.520,0.520,148
55,0.000,155,0,155,155,155,88.400,259.653,88.400,259.480,0.520,0.520,138
56,0.000,129,0,129,129,129,88.053,181.653,87.880,181.480,0.520,0.520,138
57,0.000,155,0,155,155,155,87.360,251.680,87.360,251.680,0.520,0.520,125
58,0.000,124,0,124,124,124,86.320,181.653,86.320,181.480,0.520,0.520,125
