 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,128,0,128,128,128,59.973,148.027,59.800,147.680,0.520,0.520,107
2,0.000,198,0,198,198,198,58.587,231.227,58.240,230.880,0.520,0.520,107
3,0.000,192,0,192,192,192,59.280,236.080,59.280,236.080,0.520,0.520,113
4,0.000,148,0,148,148,148,59.973,151.147,59.800,150.800,0.520,0.520,113
5,0.000,200,0,200,200,200,59.973,237.813,59.800,237.640,0.520,0.520,118
6,0.000,195,0,195,195,195,61.013,153.573,60.840,153.400,0.520,0.520,118
7,0.000,193,0,193,193,193,61.013,241.973,60.840,241.800,0.520,0.520,124
8,0.000,237,0,237,237,237,62.747,154.267,62.400,153.920,0.520,0.520,124
9,0.000,168,0,168,168,168,61.360,244.053,61.360,243.880,0.520,0.520,130
10,0.000,127,0,127,127,127,65.520,155.307,65.520,154.960,0.520,0.520,130
11,0.000,173,0,173,173,173,62.053,247.867,61.880,247.520,0.520,0.520,136
12,0.000,144,0,144,144,144,65.173,163.280,65.000,163.280,0.520,0.520,136
13,0.000,158,0,158,158,158,63.440,252.027,63.440,251.680,0.520,0.520,143
14,0.000,131,0,131,131,131,67.600,164.667,67.600,164.320,0.520,0.520,143
15,0.000,177,0,177,177,177,64.133,256.187,63.960,255.840,0.520,0.520,149
16,0.000,127,0,127,127,127,68.293,156.000,68.120,156.000,0.520,0.520,149
17,0.000,165,0,165,165,165,67.253,258.960,67.080,258.960,0.520,0.520,156
18,0.000,122,0,122,122,122,69.333,157.040,69.160,157.040,0.520,0.520,156
19,0.000,187,0,187,187,187,67.253,263.813,67.080,263.640,0.520,0.520,162
20,0.000,127,0,127,127,127,67.253,160.160,67.080,160.160,0.520,0.520,162
21,0.000,173,0,173,173,173,67.947,266.587,67.600,266.240,0.520,0.520,168
22,0.000,124,0,124,124,124,71.413,170.907,71.240,170.560,0.520,0.520,168
23,0.000,127,0,127,127,127,70.373,168.133,70.200,167.960,0.520,0.520,174
24,0.000,167,0,167,167,167,70.027,268.320,69.680,268.320,0.520,0.520,174
25,0.000,122,0,122,122,122,72.453,175.760,72.280,175.760,0.520,0.520,180
26,0.000,155,0,155,155,155,68.987,268.667,68.640,268.320,0.520,0.520,180
27,0.000,122,0,122,122,122,74.880,167.787,74.880,167.440,0.520,0.520,187
28,0.000,150,0,150,150,150,70.373,269.360,70.200,269.360,0.520,0.520,187
29,0.000,128,0,128,128,128,75.227,178.880,74.880,178.880,0.520,0.520,195
30,0.000,166,0,166,166,166,71.413,274.560,71.240,274.560,0.520,0.520,195
31,0.000,122,0,122,122,122,74.880,175.760,74.880,175.760,0.520,0.520,202
32,0.000,160,0,160,160,160,71.067,274.560,70.720,274.560,0.520,0.520,202
33,0.000,131,0,131,131,131,76.613,175.760,76.440,175.760,0.520,0.520,210
34,0.000,163,0,163,163,163,74.533,279.413,74.360,279.240,0.520,0.520,210
35,0.000,132,0,132,132,132,77.307,176.800,76.960,176.800,0.520,0.520,218
36,0.000,139,0,139,139,139,73.840,277.333,73.840,277.160,0.520,0.520,218
37,0.000,127,0,127,127,127,77.653,174.720,77.480,174.720,0.520,0.520,226
38,0.000,136,0,136,136,136,75.227,272.480,74.880,272.480,0.520,0.520,226
39,0.000,134,0,134,134,134,76.267,271.787,75.920,271.440,0.520,0.520,233
40,0.000,126,0,126,126,126,77.653,169.173,77.480,169.000,0.520,0.520,233
41,0.000,141,0,141,141,141,76.613,271.787,76.440,271.440,0.520,0.520,240
42,0.000,134,0,134,134,134,79.733,176.107,79.560,175.760,0.520,0.520,240
43,0.000,131,0,131,131,131,82.160,176.800,82.160,176.800,0.520,0.520,246
44,0.000,144,0,144,144,144,72.800,281.147,72.800,280.800,0.520,0.520,246
45,0.000,133,0,133,133,133,84.240,181.653,84.240,181.480,0.520,0.520,251
46,0.000,142,0,142,142,142,73.840,280.107,73.840,279.760,0.520,0.520,251
47,0.000,139,0,139,139,139,74.533,271.787,74.360,271.440,0.520,0.520,228
48,0.000,128,0,128,128,128,80.773,174.720,80.600,174.720,0.520,0.520,228
49,0.000,140,0,140,140,140,72.453,273.173,72.280,273.000,0.520,0.520,216
50,0.000,131,0,131,131,131,76.960,177.147,76.960,176.800,0.520,0.520,216
51,0.000,137,0,137,137,137,71.413,267.973,71.240,267.800,0.520,0.520,199
52,0.000,119,0,119,119,119,75.573,172.987,75.400,172.640,0.520,0.520,199
53,0.000,132,0,132,132,132,70.027,261.040,69.680,261.040,0.520,0.520,183
54,0.000,125,0,125,125,125,72.800,176.107,72.800,175.760,0.520,0.520,183
55,0.000,144,0,144,144,144,66.907,254.453,66.560,254.280,0.520,0.520,165
56,0.000,128,0,128,128,128,69.333,179.920,69.160,179.920,0.520,0.520,165
