 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,132,132,132,82.680,230.360,76
2,0.000,123,123,123,86.320,161.200,76
3,0.000,125,125,125,84.240,234.520,83
4,0.000,116,116,116,86.320,162.240,83
5,0.000,125,125,125,85.280,243.360,95
6,0.000,124,124,124,88.920,167.440,95
7,0.000,126,126,126,85.280,245.960,107
8,0.000,123,123,123,88.920,164.840,107
9,0.000,143,143,143,88.400,256.880,120
10,0.000,132,132,132,90.480,159.640,120
11,0.000,134,134,134,91.520,261.040,135
12,0.000,135,135,135,93.600,159.120,135
13,0.000,172,172,172,95.680,269.360,153
14,0.000,142,142,142,96.200,164.320,153
15,0.000,153,153,153,97.240,277.160,169
16,0.000,142,142,142,99.320,160.680,169
17,0.000,129,129,129,101.920,280.280,185
18,0.000,154,154,154,100.360,167.960,185
19,0.000,130,130,130,101.920,278.720,200
20,0.000,141,141,141,102.440,166.920,200
21,0.000,129,129,129,99.320,272.480,184
22,0.000,147,147,147,99.840,166.400,184
23,0.000,138,138,138,97.760,274.040,174
24,0.000,143,143,143,98.800,154.960,174
25,0.000,144,144,144,92.560,263.640,142
26,0.000,140,140,140,92.560,154.440,142
27,0.000,143,143,143,86.320,247.000,112
28,0.000,137,137,137,91.000,156.520,112
29,0.000,128,128,128,86.840,247.520,100
30,0.000,126,126,126,89.960,160.160,100
31,0.000,134,134,134,83.200,232.960,80
32,0.000,115,115,115,85.800,151.320,80
