 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,179,179,179,73.840,233.307,92
2,0.000,137,137,137,71.413,170.907,92
3,0.000,184,184,184,74.187,237.813,97
4,0.000,139,139,139,71.067,171.600,97
5,0.000,193,193,193,77.653,244.400,103
6,0.000,164,164,164,70.720,171.600,103
7,0.000,232,232,232,83.547,250.640,110
8,0.000,204,204,204,70.373,170.560,110
9,0.000,134,134,134,83.893,253.067,124
10,0.000,159,159,159,77.653,157.040,124
11,0.000,151,151,151,81.467,248.907,115
12,0.000,123,123,123,73.840,163.627,115
13,0.000,162,162,162,85.627,259.653,130
14,0.000,136,136,136,75.227,158.080,130
15,0.000,186,186,186,90.133,265.893,140
16,0.000,131,131,131,77.653,161.547,140
17,0.000,170,170,170,90.480,271.093,152
18,0.000,132,132,132,80.773,150.800,152
19,0.000,155,155,155,90.133,274.213,161
20,0.000,137,137,137,84.587,152.187,161
21,0.000,132,132,132,97.067,279.067,175
22,0.000,124,124,124,83.893,152.187,175
23,0.000,139,139,139,102.267,286.000,190
24,0.000,129,129,129,87.013,143.867,190
25,0.000,140,140,140,100.880,287.387,197
26,0.000,155,155,155,90.480,164.667,197
27,0.000,125,125,125,102.960,289.467,204
28,0.000,132,132,132,92.213,179.920,204
29,0.000,129,129,129,104.693,292.240,214
30,0.000,126,126,126,94.293,177.840,214
31,0.000,134,134,134,99.840,282.187,188
32,0.000,119,119,119,88.053,175.067,188
33,0.000,141,141,141,101.227,285.307,196
34,0.000,134,134,134,91.173,185.467,196
35,0.000,145,145,145,95.333,276.987,171
36,0.000,125,125,125,84.240,179.920,171
37,0.000,133,133,133,83.200,246.827,114
38,0.000,128,128,128,73.147,167.440,114
