 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,144,144,144,123.240,296.400,240
2,0.000,122,122,122,118.040,205.920,240
3,0.000,136,136,136,119.600,290.160,220
4,0.000,115,115,115,118.040,196.040,220
5,0.000,162,162,162,115.960,284.960,203
6,0.000,142,142,142,115.960,178.360,203
7,0.000,146,146,146,113.880,277.160,184
8,0.000,132,132,132,109.720,176.280,184
9,0.000,152,152,152,109.200,269.880,165
10,0.000,123,123,123,105.560,184.080,165
11,0.000,157,157,157,106.080,263.640,147
12,0.000,127,127,127,103.480,175.240,147
13,0.000,205,205,205,104.520,256.880,129
14,0.000,120,120,120,100.880,170.560,129
15,0.000,135,135,135,93.080,219.960,80
16,0.000,124,124,124,91.520,151.320,80
17,0.000,156,156,156,96.200,228.800,88
18,0.000,127,127,127,92.040,153.400,88
19,0.000,199,199,199,99.840,241.800,103
20,0.000,125,125,125,94.120,152.880,103
21,0.000,171,171,171,98.800,247.000,114
22,0.000,135,135,135,97.240,155.480,114
23,0.000,180,180,180,99.840,251.160,121
24,0.000,120,120,120,97.760,161.200,121
25,0.000,147,147,147,102.440,255.320,131
26,0.000,121,121,121,100.880,170.560,131
27,0.000,141,141,141,108.680,265.720,156
28,0.000,125,125,125,105.560,175.240,156
29,0.000,153,153,153,108.160,271.960,168
30,0.000,132,132,132,107.640,177.320,168
31,0.000,189,189,189,112.320,278.200,183
32,0.000,123,123,123,109.200,180.960,183
33,0.000,143,143,143,115.960,283.400,201
34,0.000,136,136,136,113.360,183.560,201
35,0.000,132,132,132,119.600,290.680,218
36,0.000,121,121,121,117.520,187.200,218
