 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,152,152,152,92.040,261.560,108
2,0.000,140,140,140,91.000,186.160,108
3,0.000,152,152,152,93.080,263.640,114
4,0.000,140,140,140,92.040,185.640,114
5,0.000,138,138,138,92.560,266.760,121
6,0.000,137,137,137,92.560,192.920,121
7,0.000,139,139,139,97.760,273.000,129
8,0.000,133,133,133,95.680,193.960,129
9,0.000,140,140,140,99.840,274.040,137
10,0.000,138,138,138,97.760,192.400,137
11,0.000,133,133,133,100.880,279.760,145
12,0.000,147,147,147,98.280,193.960,145
13,0.000,141,141,141,101.920,284.440,153
14,0.000,143,143,143,99.840,197.080,153
15,0.000,138,138,138,100.880,286.000,161
16,0.000,131,131,131,102.440,200.720,161
17,0.000,139,139,139,106.600,288.080,168
18,0.000,122,122,122,109.200,199.160,168
19,0.000,134,134,134,106.080,289.640,176
20,0.000,151,151,151,111.800,195.000,176
