 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,142,0,142,142,142,74.533,232.787,74.360,232.440,0.520,0.520,118
2,0.000,117,0,117,117,117,70.720,150.973,70.720,150.800,0.520,0.520,118
3,0.000,146,0,146,146,146,74.880,236.253,74.880,236.080,0.520,0.520,124
4,0.000,113,0,113,113,113,72.107,153.400,71.760,153.400,0.520,0.520,124
5,0.000,141,0,141,141,141,76.613,240.413,76.440,240.240,0.520,0.520,129
6,0.000,114,0,114,114,114,73.840,157.213,73.840,157.040,0.520,0.520,129
7,0.000,140,0,140,140,140,75.227,238.680,74.880,238.680,0.520,0.520,135
8,0.000,118,0,118,118,118,76.267,159.640,75.920,159.640,0.520,0.520,135
9,0.000,136,0,136,136,136,75.573,243.187,75.400,242.840,0.520,0.520,142
10,0.000,135,0,135,135,135,75.920,164.147,75.920,163.800,0.520,0.520,142
11,0.000,140,0,140,140,140,79.387,248.733,79.040,248.560,0.520,0.520,149
12,0.000,121,0,121,121,121,75.920,165.187,75.920,164.840,0.520,0.520,149
13,0.000,147,0,147,147,147,79.040,252.893,79.040,252.720,0.520,0.520,155
14,0.000,116,0,116,116,116,75.573,163.107,75.400,162.760,0.520,0.520,155
15,0.000,149,0,149,149,149,81.467,256.360,81.120,256.360,0.520,0.520,162
16,0.000,121,0,121,121,121,78.000,165.880,78.000,165.880,0.520,0.520,162
17,0.000,143,0,143,143,143,82.160,258.093,82.160,257.920,0.520,0.520,168
18,0.000,135,0,135,135,135,77.307,162.413,76.960,162.240,0.520,0.520,168
19,0.000,139,0,139,139,139,85.973,260.173,85.800,260.000,0.520,0.520,174
20,0.000,127,0,127,127,127,80.080,164.840,80.080,164.840,0.520,0.520,174
21,0.000,142,0,142,142,142,86.320,263.293,86.320,263.120,0.520,0.520,180
22,0.000,129,0,129,129,129,81.467,171.427,81.120,171.080,0.520,0.520,180
23,0.000,127,0,127,127,127,87.707,265.720,87.360,265.720,0.520,0.520,187
24,0.000,123,0,123,123,123,82.160,171.427,82.160,171.080,0.520,0.520,187
25,0.000,132,0,132,132,132,89.440,268.493,89.440,268.320,0.520,0.520,194
26,0.000,115,0,115,115,115,83.893,172.813,83.720,172.640,0.520,0.520,194
27,0.000,154,0,154,154,154,88.747,273.693,88.400,273.520,0.520,0.520,200
28,0.000,124,0,124,124,124,83.893,177.667,83.720,177.320,0.520,0.520,200
29,0.000,136,0,136,136,136,89.093,274.387,88.920,274.040,0.520,0.520,206
30,0.000,121,0,121,121,121,85.627,183.213,85.280,183.040,0.520,0.520,206
31,0.000,129,0,129,129,129,92.907,277.853,92.560,277.680,0.520,0.520,212
32,0.000,121,0,121,121,121,87.360,175.933,87.360,175.760,0.520,0.520,212
33,0.000,142,0,142,142,142,93.253,281.320,93.080,281.320,0.520,0.520,218
34,0.000,119,0,119,119,119,88.400,180.787,88.400,180.440,0.520,0.520,218
35,0.000,193,0,193,193,193,92.560,282.013,92.560,281.840,0.520,0.520,223
36,0.000,130,0,130,130,130,89.787,185.987,89.440,185.640,0.520,0.520,223
37,0.000,143,0,143,143,143,94.293,287.213,94.120,287.040,0.520,0.520,229
38,0.000,119,0,119,119,119,91.173,189.453,91.000,189.280,0.520,0.520,229
39,0.000,142,0,142,142,142,97.067,288.947,96.720,288.600,0.520,0.520,235
40,0.000,134,0,134,134,134,91.867,189.107,91.520,188.760,0.520,0.520,235
41,0.000,126,0,126,126,126,97.067,286.867,96.720,286.520,0.520,0.520,241
42,0.000,125,0,125,125,125,93.600,187.027,93.600,186.680,0.520,0.520,241
43,0.000,131,0,131,131,131,98.800,289.987,98.800,289.640,0.520,0.520,247
44,0.000,128,0,128,128,128,93.947,185.987,93.600,185.640,0.520,0.520,247
45,0.000,129,0,129,129,129,98.107,292.760,97.760,292.760,0.520,0.520,251
46,0.000,121,0,121,121,121,93.253,183.213,93.080,183.040,0.520,0.520,251
47,0.000,132,0,132,132,132,90.480,273.347,90.480,273.000,0.520,0.520,202
48,0.000,122,0,122,122,122,86.320,184.253,86.320,184.080,0.520,0.520,202
49,0.000,146,0,146,146,146,79.387,245.613,79.040,245.440,0.520,0.520,134
50,0.000,122,0,122,122,122,74.880,165.880,74.880,165.880,0.520,0.520,134
51,0.000,140,0,140,140,140,81.813,251.160,81.640,251.160,0.520,0.520,148
52,0.000,120,0,120,120,120,75.573,165.533,75.400,165.360,0.520,0.520,148
53,0.000,135,0,135,135,135,81.813,256.013,81.640,255.840,0.520,0.520,164
54,0.000,118,0,118,118,118,79.040,172.813,79.040,172.640,0.520,0.520,164
55,0.000,146,0,146,146,146,84.933,261.213,84.760,261.040,0.520,0.520,176
56,0.000,132,0,132,132,132,82.160,176.627,82.160,176.280,0.520,0.520,176
57,0.000,123,0,123,123,123,89.787,270.227,89.440,269.880,0.520,0.520,198
58,0.000,120,0,120,120,120,84.933,177.667,84.760,177.320,0.520,0.520,198
