 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,129,129,129,72.281,223.083,108
2,0.000,124,124,124,67.601,151.322,108
3,0.000,127,127,127,74.361,227.243,113
4,0.000,126,126,126,68.641,155.482,113
5,0.000,126,126,126,74.361,230.363,118
6,0.000,116,116,116,69.681,145.602,118
7,0.000,121,121,121,77.481,232.443,124
8,0.000,118,118,118,71.241,150.282,124
9,0.000,130,130,130,75.921,234.523,131
10,0.000,116,116,116,73.321,159.122,131
11,0.000,127,127,127,78.001,239.723,138
12,0.000,122,122,122,73.321,166.922,138
13,0.000,138,138,138,78.001,248.043,145
14,0.000,118,118,118,76.441,158.602,145
15,0.000,121,121,121,80.081,248.043,153
16,0.000,118,118,118,76.961,164.322,153
17,0.000,119,119,119,81.121,249.083,160
18,0.000,118,118,118,78.521,158.082,160
19,0.000,128,128,128,81.641,254.804,167
20,0.000,126,126,126,76.961,157.562,167
21,0.000,134,134,134,82.681,253.764,174
22,0.000,136,136,136,79.041,159.642,174
23,0.000,122,122,122,86.841,258.444,182
24,0.000,124,124,124,81.641,158.602,182
25,0.000,130,130,130,85.281,264.164,188
26,0.000,127,127,127,83.201,167.962,188
27,0.000,128,128,128,86.841,266.764,194
28,0.000,120,120,120,84.241,169.522,194
29,0.000,136,136,136,87.881,268.324,198
30,0.000,123,123,123,83.201,165.362,198
31,0.000,128,128,128,89.441,270.924,204
32,0.000,123,123,123,84.241,164.842,204
33,0.000,129,129,129,91.521,274.564,210
34,0.000,126,126,126,85.281,165.882,210
35,0.000,128,128,128,92.041,273.524,217
36,0.000,143,143,143,88.921,161.722,217
37,0.000,126,126,126,94.121,276.124,223
38,0.000,126,126,126,88.401,164.842,223
39,0.000,128,128,128,94.121,280.284,228
40,0.000,126,126,126,89.961,173.162,228
41,0.000,125,125,125,96.721,283.404,235
42,0.000,152,152,152,89.961,169.002,235
43,0.000,124,124,124,96.721,287.044,240
44,0.000,134,134,134,91.521,166.402,240
45,0.000,124,124,124,98.801,290.164,246
46,0.000,139,139,139,92.561,170.562,246
47,0.000,121,121,121,96.721,288.084,251
48,0.000,137,137,137,92.561,172.122,251
49,0.000,127,127,127,95.161,284.444,236
50,0.000,161,161,161,89.961,167.962,236
51,0.000,122,122,122,94.121,278.204,226
52,0.000,132,132,132,88.921,167.962,226
53,0.000,129,129,129,92.561,277.164,218
54,0.000,130,130,130,85.801,171.602,218
55,0.000,131,131,131,92.041,273.004,207
56,0.000,125,125,125,86.841,170.042,207
57,0.000,127,127,127,90.481,267.804,199
58,0.000,123,123,123,83.721,170.562,199
59,0.000,129,129,129,88.921,266.764,195
60,0.000,124,124,124,82.161,176.282,195
61,0.000,135,135,135,89.961,264.684,187
62,0.000,121,121,121,83.201,171.602,187
63,0.000,120,120,120,88.401,260.004,179
64,0.000,126,126,126,81.641,173.162,179
65,0.000,133,133,133,83.721,253.764,161
66,0.000,127,127,127,76.961,165.882,161
67,0.000,130,130,130,84.761,257.404,175
68,0.000,125,125,125,81.641,167.962,175
69,0.000,128,128,128,78.521,241.803,142
70,0.000,118,118,118,73.841,162.762,142
71,0.000,121,121,121,77.481,236.083,134
72,0.000,130,130,130,73.841,170.562,134
