 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,BX,BY,Width,Height,Slice
1,0.000,152,0,152,152,152,110.240,235.560,110.240,235.560,0.520,0.520,207
2,0.000,135,0,135,135,135,111.800,144.040,111.800,144.040,0.520,0.520,207
3,0.000,147,0,147,147,147,107.120,233.480,107.120,233.480,0.520,0.520,203
4,0.000,126,0,126,126,126,112.840,144.040,112.840,144.040,0.520,0.520,203
5,0.000,144,0,144,144,144,107.640,231.400,107.640,231.400,0.520,0.520,197
6,0.000,119,0,119,119,119,110.760,141.960,110.760,141.960,0.520,0.520,197
7,0.000,144,0,144,144,144,107.120,228.800,107.120,228.800,0.520,0.520,191
8,0.000,164,0,164,164,164,106.600,140.400,106.600,140.400,0.520,0.520,191
9,0.000,140,0,140,140,140,107.120,225.680,107.120,225.680,0.520,0.520,185
10,0.000,123,0,123,123,123,106.600,135.200,106.600,135.200,0.520,0.520,185
11,0.000,128,0,128,128,128,107.120,222.040,107.120,222.040,0.520,0.520,178
12,0.000,152,0,152,152,152,104.000,131.560,104.000,131.560,0.520,0.520,178
13,0.000,141,0,141,141,141,106.080,219.960,106.080,219.960,0.520,0.520,173
14,0.000,160,0,160,160,160,102.440,130.000,102.440,130.000,0.520,0.520,173
15,0.000,155,0,155,155,155,102.960,217.880,102.960,217.880,0.520,0.520,167
16,0.000,138,0,138,138,138,102.440,130.000,102.440,130.000,0.520,0.520,167
17,0.000,134,0,134,134,134,102.960,215.280,102.960,215.280,0.520,0.520,162
18,0.000,130,0,130,130,130,104.000,132.080,104.000,132.080,0.520,0.520,162
19,0.000,144,0,144,144,144,102.960,211.120,102.960,211.120,0.520,0.520,156
20,0.000,124,0,124,124,124,102.440,133.120,102.440,133.120,0.520,0.520,156
21,0.000,153,0,153,153,153,102.960,211.120,102.960,211.120,0.520,0.520,150
22,0.000,117,0,117,117,117,101.920,130.000,101.920,130.000,0.520,0.520,150
23,0.000,132,0,132,132,132,100.360,208.000,100.360,208.000,0.520,0.520,145
24,0.000,131,0,131,131,131,102.440,135.200,102.440,135.200,0.520,0.520,145
25,0.000,133,0,133,133,133,93.600,192.400,93.600,192.400,0.520,0.520,105
26,0.000,120,0,120,120,120,91.520,137.800,91.520,137.800,0.520,0.520,105
27,0.000,144,0,144,144,144,98.800,209.040,98.800,209.040,0.520,0.520,135
28,0.000,120,0,120,120,120,95.680,135.720,95.680,135.720,0.520,0.520,135
29,0.000,140,0,140,140,140,101.920,209.040,101.920,209.040,0.520,0.520,141
30,0.000,131,0,131,131,131,97.760,132.080,97.760,132.080,0.520,0.520,141
31,0.000,140,0,140,140,140,102.440,210.600,102.440,210.600,0.520,0.520,147
32,0.000,122,0,122,122,122,99.320,136.760,99.320,136.760,0.520,0.520,147
33,0.000,158,0,158,158,158,100.360,206.440,100.360,206.440,0.520,0.520,132
34,0.000,118,0,118,118,118,96.200,135.200,96.200,135.200,0.520,0.520,132
35,0.000,139,0,139,139,139,99.320,203.320,99.320,203.320,0.520,0.520,126
36,0.000,123,0,123,123,123,94.640,135.720,94.640,135.720,0.520,0.520,126
37,0.000,141,0,141,141,141,97.240,198.120,97.240,198.120,0.520,0.520,112
38,0.000,118,0,118,118,118,93.080,138.320,93.080,138.320,0.520,0.520,112
39,0.000,142,0,142,142,142,107.640,226.200,107.640,226.200,0.520,0.520,187
40,0.000,126,0,126,126,126,106.080,144.040,106.080,144.040,0.520,0.520,187
41,0.000,137,0,137,137,137,108.160,229.840,108.160,229.840,0.520,0.520,198
42,0.000,127,0,127,127,127,108.680,150.280,108.680,150.280,0.520,0.520,198
43,0.000,145,0,145,145,145,110.760,232.960,110.760,232.960,0.520,0.520,205
44,0.000,124,0,124,124,124,110.760,152.360,110.760,152.360,0.520,0.520,205
45,0.000,144,0,144,144,144,110.760,231.920,110.760,231.920,0.520,0.520,212
46,0.000,127,0,127,127,127,109.720,156.520,109.720,156.520,0.520,0.520,212
47,0.000,135,0,135,135,135,109.720,234.520,109.720,234.520,0.520,0.520,219
48,0.000,126,0,126,126,126,110.760,158.080,110.760,158.080,0.520,0.520,219
