fish1_x,fish1_y,fish2_x,fish2_y,fish3_x,fish3_y
3120.602,285.5127,742.04,152.129,1862.899,365.557
1583.199,144.0481,869.396,126.448,1444.967,321.115
1875.22,203.5091,843.406,196.478,2534.983,560.45
1570.723,137.0126,741.976,158.393,600.59,110.59
1263.497,119.9786,878.865,172.231,1225.262,235.508
2206.808,191.5785,812.596,217.346,737.016,114.049
1625.078,236.921,757.234,162.406,487.955,387.591
3750.364,478.2838,1155.183,169.333,1753.638,505.483
2698.507,365.3788,939.267,134.417,559.412,346.353
2089.413,253.1588,1370.856,177.183,904.395,335.442
1505.17,207.4317,916.7,122.429,2899.514,1186.595
2685.386,290.9606,1021.379,181.169,1514.031,730.469
1588.362,153.9873,843.6,140.9,1124.348,511.58
1022.173,103.5097,1173.057,181,631.217,459.13
976.8109,60.44213,936.068,203.045,1412.733,366.583
1454.734,83.65982,1403.456,185.57,304.75,264.139
3174.634,323.2712,1560.392,298.175,837.628,239.744
1407.94,180.5809,1280.135,243.062,1131.367,508.9
1303.843,202.4278,1427.203,339.797,1026.362,205.025
1658.712,269.8427,1188.459,180.908,686.884,452.244
1758.213,109.1723,1078.478,166.884,704.844,285.219
1659.26,191.2178,774.696,199.696,1026.902,318.235
1589.857,184.7689,1018.279,179.918,687.707,257.121
1437.825,160.5222,1311.35,211.462,1024.385,382.327
1728.831,97.18171,766.99,155.519,1317.392,220.021
1176.178,189.5626,986.661,193.089,1646.756,375.965
2257.708,185.5858,1001.5,244.793,1038.365,275.385
2026.491,297.6742,1319.516,237.391,1846.685,454.899
1399.072,187.987,1445.623,292.247,347.904,122.683
1802.946,136.3665,1343.608,274.911,1049.389,295.319
1475.042,190.2502,1767.086,193.736,535.942,149.058
2182.808,188.2062,1290.734,273.844,626.231,114
1872.644,226.8634,778.979,173.823,578.29,256.696
1706.261,148.1018,651.865,156.979,602.573,343.333
1581.499,197.9407,1225.021,197.771,687.761,194.852
1119.857,147.7302,1046.083,149.573,1534.942,426.5
1538.62,275.0377,1275.083,247.854,1223.778,291.194
1276.883,139.9398,878.594,130.51,534.214,277.087
1967.637,209.209,687.156,147.698,1252.233,577.117
1101.762,114.8712,637.667,166.333,846.711,544.144
1168.015,80.4775,803.156,134.906,857.784,555.627
1169.887,95.36512,1031.656,159.812,1829.863,630.118
1232.32,116.6634,1094.979,120.844,602.371,392.943
1463.6,126.4172,1100.156,151.396,574.354,206.911
1226.684,126.5968,931.135,110.396,592.543,85.743
1479.271,167.3336,1137.573,148.781,635.25,335.083
1588.618,184.8631,892.135,144.115,650.922,326.824
1681.459,124.7201,782.844,182.125,1972.167,802.917
1147.339,119.5948,1300.979,205.792,1068.548,478.51
2326.84,215.1373,855.281,139.594,567.062,190.328
2133.443,297.2499,761.042,163.854,391.578,107.438
1448.274,150.577,1030.708,166.562,685.266,346.297
1884.534,158.8267,1511.615,257.115,636.286,181.405
1161.304,127.6356,1015.854,176.677,360.135,80.969
1419.175,123.2994,1574.354,327.385,409.552,174.552
1921.747,149.0964,1745.135,245.271,976.95,347.263
1018.779,98.37375,919.688,157.24,763.85,343.812
1676.789,208.3171,614.929,164.043,1504.094,287.438
1518.99,146.7781,745.429,181.214,704.353,300.667
944.9494,177.7042,782.486,197.929,883.633,214.167
1177.506,214.8421,685.114,148.271,683.076,440.304
1111.377,102.1321,615.786,122.657,769.525,501.623
1866.229,113.0196,769.1,134.157,411.571,178.986
1435.02,130.7506,745.429,181.214,579.183,313.433
920.674,103.6663,1274.5,291,443.741,393.593
1270.064,152.1582,948.486,162.557,808.525,124.525
950.7776,130.6533,764.586,157.957,850.343,565.714
